Rows,rows3,GMAT,GMATQA,GMATQB,GMATQC,GMATQD,GMATQE,GMATAs,GRE,GREQA,GREQB,GREQC,GREQD,GREQE,GREA,LSAT,LSATQA,LSATQB,LSATQC,LSATQD,LSATQE,LSATAs,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,AllTrials.thisRepN,AllTrials.thisTrialN,AllTrials.thisN,AllTrials.thisIndex,QuestionTrials.thisRepN,QuestionTrials.thisTrialN,QuestionTrials.thisN,QuestionTrials.thisIndex,Questions5.thisRepN,Questions5.thisTrialN,Questions5.thisN,Questions5.thisIndex,GameTrials.thisRepN,GameTrials.thisTrialN,GameTrials.thisN,GameTrials.thisIndex,instruct.started,instruct.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,regCue.started,regCue.stopped,choiceQ.started,choiceQ.stopped,choiceResp.keys,choiceResp.rt,choiceResp.started,choiceResp.stopped,testChoice.started,testChoice.stopped,videogameChoice.started,videogameChoice.stopped,gre.started,gre.stopped,gmat.started,gmat.stopped,lsat.started,lsat.stopped,game.started,game.stopped,blank.started,blank.stopped,testQChoice.started,testQChoice.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,upDown.keys,upDown.rt,upDown.started,upDown.stopped,polygon.started,polygon.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,TextQuestion.started,TextQuestion.stopped,letterKey.keys,letterKey.rt,letterKey.started,letterKey.stopped,enterKey.keys,enterKey.rt,enterKey.started,enterKey.stopped,choiceA.started,choiceA.stopped,choiceB.started,choiceB.stopped,choiceC.started,choiceC.stopped,choiceD.started,choiceD.stopped,choiceE.started,choiceE.stopped,conBlank.started,conBlank.stopped,participant,session,date,expName,psychopyVersion,frameRate,
000:005,REACT,"1) In order to combat Carville’s rampant homeless problem, Mayor Bloomfield recently proposed a ban on sleeping outdoors in the city’s many parks. He claims that such a measure will force the homeless to either leave Carville or to find means other than sleeping in public parks.

Which of the following, if true, suggests that Mayor Bloomfield’s plan will be successful?","(A) Until the ban, the city’s many homeless shelters were at less than fifty percent occupancy.",(B) Many homeless tend to congregate underneath Carville’s numerous overpasses.,(C) Adjacent cities have even tougher measures on the homeless sleeping outdoors.,"(D) The percent of Carville’s population that has been homeless has been slowly decreasing in the last five years.

","(E) Mayor Jonesmith, Mayor Bloomfield’s predecessor, had been far more tolerant towards the city’s homeless population.",a,"1) The Dvorak keyboard requires less finger movement than the ubiquitous QWERTY keyboard. As a result, Dvorak keyboard users are not only able to type more words per minute, but are also less vulnerable to both repetitive stress disorder and carpal tunnel syndrome. Nonetheless, businesses, as well as consumers, have not adopted the Dvorak keyboard. Clearly, if the Dvorak keyboard is to become more widely used, its benefits must be more widely touted.

 

Which of the following, if true, most threatens the author’s conclusion?",(A)The initial cost of manufacturing a Dvorak keyboard will be more expensive than that of a QWERTY keyboard.,(B)Many who have attempted using a Dvorak keyboard claim that learning the configuration of keys takes weeks.,(C)Those suffering from repetitive stress injuries often attribute the injuries to multiple factors.,"(D)Businesses that have educated employees on the benefits of the Dvorak keyboard, have found that employees continue to use the Qwerty keyboard.",(E)Businesses have found that many employees who believe the Qwerty keyboard is responsible for stress-induced injuries are unaware of the Dvorak keyboard.,d,"1)Executive: We recently ran a set of advertisements in the print version of a travel magazine and on that magazine’s website. We were unable to get any direct information about consumer response to the print ads. However, we found that consumer response to the ads on the website was much more limited than is typical for website ads. We concluded that consumer response to the print ads was probably below par as well.

The executive’s reasoning does which one of the following?",(A)bases a prediction of the intensity of a phenomenon on information about the intensity of that phenomenon’s cause,"(B)uses information about the typical frequency of events of a general kind to draw a conclusion about the probability of a particular event of that kind
",(C)infers a statistical generalization from claims about a large number of specific instances,(D)uses a case in which direct evidence is available to draw a conclusion about an analogous case in which direct evidence is unavailable,(E)bases a prediction about future events on facts about recent comparable events,d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.681080800015479,None,space,13.837258900050074,7.681080800015479,None,27.067403000080958,None,24.06756170000881,None,29.57003329996951,None,1,1.4362490000203252,29.57003329996951,None,29.57003329996951,None,29.57003329996951,None,29.57003329996951,None,29.57003329996951,None,29.57003329996951,None,29.57003329996951,None,31.03718900005333,32.538645799970254,32.55626400001347,None,32.55626400001347,None,32.55626400001347,None,32.55626400001347,None,1,1.5222040000371635,32.55626400001347,None,34.10693350015208,None,return,2.145110300043598,32.55626400001347,None,34.725365000078455,None,space,0.8409738000482321,34.725365000078455,None,35.72261149995029,None,c,2.3876928999088705,35.72261149995029,38.59372500004247,return,2.8340195999480784,35.72261149995029,38.59372500004247,35.72261149995029,None,35.72261149995029,None,35.72261149995029,None,35.72261149995029,None,35.72261149995029,None,38.57694700011052,41.079143800074235,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,"2) Megalimpet is a nationwide owner of office space.  They have major office buildings in the downtowns of several cities in the 48 lower states, and rent this space to individual companies.  Megalimpet office spaces vary from small office to large suites, and every space has custom-designed wall-to-wall carpeting.  The carpet in several Megalimpet facilities needed replacing.  The winning bid for the nationwide carpet replacement was submitted by Bathyderm Carpet Company (BCC).  The bid contract involves all delivery costs, all installation, and any ongoing maintenance and upkeep while the carpet is under the three-year warranty.  Both BCC executives and independent consultants they hired felt BCC would be able to perform all these services for far less than their bid price; these circumstances would allow BCC to reap a considerable profit.

Which of the following, if true, most calls in question the argument that BCC will make a large profit from this contract with Megalimpet?","(A) All the carpets will have to be transported by train from BCC factory in Louisville, KY, to Megalimpet’s locations from coast to coast.","(B) BCC has already supplied carpets to a number of restaurant chains, and some of those spaces are as large as Megalimpet’s largest office spaces.

",(C) The carpet installation teams will have to cut different sizes of the carpets for the different size office suites in the Megalimpet buildings.,"(D) The material in BCC carpets degrades rapidly when it comes into contact with standard toner, found in most laser printers and photocopiers; the degraded sections are unsightly and smell bad, so they often need to be replaced.","(E) The next competing bid after BCC’s was 50% higher than BCC’s bid

",d,"2)The median house value in Butlerville has fallen significantly in the last few months. Nonetheless, the number of homes sold has been at its lowest level in seven years.

Which of the following best explains the discrepancy?",(A) The value of homes is not the only determinant of whether a house will be sold.,(B)The neighboring city of Jacksonburg has seen a recent surge in home sales.,(C)The Butlerville economy is struggling and the unemployment rate has reached historic rates.,(D)Analysts predict that the number of homes sold will increasing in the coming year.,(E)Homes priced over a million dollars have seen the sharpest decline in sales.,c,"2) Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...",(A)derives its significance in part from its providing new technologies,(B)expands the boundaries of our knowledge of medicine,(C)should have the saving of human lives as an important goal,(D)has its most valuable achievements in medical applications,(E)has any value apart from its role in providing new technologies to save lives,d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1559812000487,41.1559812000487,c,1.0343071999959648,41.1559812000487,42.66359350015409,return,1.4647085999604315,41.1559812000487,42.66359350015409,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,41.1559812000487,42.64723729994148,45.150000100024045,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,"3) A minor league baseball franchise experienced a drop in attendance this week after they suffered three losses by margins of ten runs or more last week.  Many spectators of those games wrote letters to the editors of the local sporting news, complaining of the poor play of the team in those three losses.  Nevertheless, the front office of this baseball franchise maintains that the team’s poor play in those three losses has nothing to do with this week’s decline in attendance.",(A) The spectators who wrote letters to the local sporting news were long-standing fans of this minor league baseball team.,(B) Many minor league baseball franchises attribute a drop in attendance to the quality of play of the team only after a string of losses.,(C) Other minor league teams in that region of the state reported a similar drop in attendance this week.,"(D) This was not the first time this team suffered multiple lopsided losses in a single week, prompting similar letters to the local sporting news.","(E) This minor league team is over four hours from the closest major league team, so many of the minor league team’s fans do not often attend major league games.",c,"3) Recently, an unusually high number of dolphins have been found dead of infectious diseases, and most of these had abnormally high tissue concentrations of certain compounds that, even in low concentrations, reduce dolphins' resistance to infection. The only source of these compounds in the dolphins' environment is boat paint.  Therefore, since dolphins rid their bodies of the compounds rapidly once exposure ceases, their mortality rate should decline rapidly if such boat paints are banned.

Which of the following, if true, most strengthens the argument? 

",(A) The levels of the compounds typically used in boat paints today are lower than they were in boat paints manufactured a decade ago.,"(B) In high concentrations, the compounds are toxic to many types of marine animals.",(C)The compounds break down into harmless substances after a few months of exposure to water or air. ,"(D)High tissue levels of the compounds have recently been found in some marine animals, but there is no recocrd of any of those animals dying in unusually large numbers rececntly ",(E)The compounds do not leach out of the boat paint if the paint is applied exactly in accordance with the manufacturer's directions. ,c,"3)The supernova event of 1987 is interesting in that there is still no evidence of the neutron star that current theory says should have remained after a supernova of that size. This is in spite of the fact that many of the most sensitive instruments ever developed have searched for the tell-tale pulse of radiation that neutron stars emit. Thus, current theory is wrong in claiming that supernovas of a certain size always produce neutron stars.

Which one of the following, if true, most strengthens the argument?",(A)Most supernova remnants that astronomers have detected have a neutron star nearby.,(B)Sensitive astronomical instruments have detected neutron stars much farther away than the location of the 1987 supernova.,(C)The supernova of 1987 was the first that scientists were able to observe in progress.,(D)Several important features of the 1987 supernova are correctly predicted by the current theory.,(E)Some neutron stars are known to have come into existence by a cause other than a supernova explosion.,b,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.27171290013939,45.27171290013939,d,1.4466069000773132,45.27171290013939,47.701225500088185,return,2.3889631999190897,45.27171290013939,47.701225500088185,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,45.27171290013939,47.68450790015049,50.186536400113255,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,"4) In a few recent cases, some teenagers with advanced programming abilities used a new programming language, FANTOD, to hack into ETS and change their own SAT scores.  All of the teenagers convicted of this crime were highly skilled in programming FANTOD.  In light of these cases, some colleges have discounted the official SAT scores of applicants with a knowledge of FANTOD, and have required them to take special admission tests in supervised conditions on their own campuses.",(A) Most people who learn to program in FANTOD do so to commit some kind of hacking.,(B) Colleges should rely on their own admissions tests instead of the SATs,(C) Some students with knowledge of FANTOD are possibly placed at a disadvantage in the college admission process.,(D) Students who learn FANTOD tend to have much lower SAT scores than do their peers.,(E) Some colleges have not set any special requirements for applicants who have demonstrated knowledge of FANTOD,c,"4) Extensive housing is underway in Pataska Forest, the habitat of a large population of deer. Because deer feed at the edges of the forests, these deer will be attracted to the spaces alongside the new roads. Being cut through Pataska Forest to serve the new residential areas. Consequently, once the housing is occupied, the annual number of the forest's deer hit by cars will be much higher than before construction started. 

Which of the following is an assumption on which the argument depends?",(A)The number of deer hit by commercial vehicles will not increase significantly when the housing is occupied.,(B)Deer will be as attracted to the forest edge around new houses as to the forest edge alongside roads.,"(C)In past years, the annual number of deer that have been hit by cars on existing roads through Pataska Forest has been very low.",(D) The development will leave sufficient forest to sustain a signiificant population of deer.,(E)No deer hunting will be allowed in Pataska Forest when the housing is occupied. ,d,"4)Political scientist: As a political system, democracy does not promote political freedom. There are historical examples of democracies that ultimately resulted in some of the most oppressive societies. Likewise, there have been enlightened despotisms and oligarchies that have provided a remarkable level of political freedom to their subjects.

The reasoning in the political scientist’s argument is flawed because it...",(A)confuses the conditions necessary for political freedom with the conditions sufficient to bring it about  ,(B)fails to consider that a substantial increase in the level of political freedom might cause a society to become more democratic,(C)appeals to historical examples that are irrelevant to the causal claim being made,(D)overlooks the possibility that democracy promotes political freedom without being necessary or sufficient by itself to produce it,(E)bases its historical case on a personal point of view,d,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.286124400096014,50.286124400096014,c,1.56815700000152,50.286124400096014,52.22165640001185,return,1.9022879998665303,50.286124400096014,52.22165640001185,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,50.286124400096014,52.20503990002908,54.707110800081864,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,"5) In the twentieth century, the visual arts have embarked on major experimentation, from cubism to expressionism.  While tastes always vary, there are certainly some people who find beautiful objects of each of the art movements of the first half of the twentieth century.  In the latter half of the twentieth century, though, most works are so abstract or shocking that neither the critic nor the general public uses the word “beautiful” to describe them: indeed, sometimes late twentieth-century artists have, as one of their expressed goals, the creation of a work that no one could find beautiful.  Whatever these artists are creating may be intellectually engaging at some level, but it is no longer art.",(A) Art critics generally have a different appraisal of a work of art than does the general public.,(B) The meaning of any work of art is defined entirely by the ideas of the artist who created it.,(C) Beauty is a defining quality of art.,(D) All art movements of the latter half of the twentieth century are responses to the movements of the first half of the century.,(E) It is not possible for any work to be simultaneously beautiful and intellectually engaging.,c,"5)The Malbec grape, originally grown in France, has become the main varietal in Argentina. This is surprising because most Malbec grown in Argentina is grown at high altitudes, whereas the Malbec grape once was grown at low altitudes. Therefore, Argentinian winegrowers should grow the Malbec grape at low elevations.

Which of the following, if true, would most weaken the conclusion of the argument?","(A)The Bordeaux grape is the most popular grape in France, but is rarely, if ever, grown in Argentina.",(B)Some varietals are unable to grow at high altitudes. ,(C)The soil at high altitudes is filled with nutrients that help the Malbec grape grow. ,"(D) The Malbec vine is susceptible to phylloxera, a plant louse that only growss at low altitudes. ","(E)Malbec has recently enjoyed a surge in popularity, and can be found in many different countries. ",None,"5) Journalist: To reconcile the need for profits sufficient to support new drug research with the moral imperative to provide medicines to those who most need them but cannot afford them, some pharmaceutical companies feel justified in selling a drug in rich nations at one price and in poor nations at a much lower price. But this practice is unjustified. A nation with a low average income may still have a substantial middle class better able to pay for new drugs than are many of the poorer citizens of an overall wealthier nation.

Which one of the following principles, if valid, most helps to justify the journalist’s reasoning?","(A)People who are ill deserve more consideration than do healthy people, regardless of their relative socioeconomic positions.","(B)Wealthy institutions have an obligation to expend at least some of their resources to assist those incapable of assisting themselves.
",(C)Whether one deserves special consideration depends on one’s needs rather than on characteristics of the society to which one belongs.,(D)The people in wealthy nations should not have better access to health care than do the people in poorer nations.,(E)Unequal access to health care is more unfair than an unequal distribution of wealth.,c,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7916464000009,54.7916464000009,c,0.9186269999481738,54.7916464000009,56.40874910005368,return,1.5725792001467198,54.7916464000009,56.40874910005368,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,54.7916464000009,56.39206480002031,58.89388550003059,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
000:005,REACT,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
005:0010,REGULATE,"1) The National Farm Administration (NFA) has been concerned over the last decade with the struggles of barley growers.
Plan: In an effort to support these barley growers, two years ago, the NFA began a program of sending them, each autumn, a free special mix of fertilizer and enzymes designed to multiply barley yield, to be applied the following spring during first growth.  This mix had been stunningly successful in multiplying the yield of barley in laboratory conditions.
Results: Most barley growers reported little change in their economic status over this two year period.

Further information: All barley growers received the shipments, and all used them.  Weather conditions have been fair to optimal for barley growth over the past two years.

In light of the further information, which of the following, if true, does most to explain the result that followed the implementation of the plan?","(A) During these two years, most of the barley growers reported using no other fertilizer besides the special mix sent by the government",(B) The trucks that drove the special mix from the depot in Wisconsin to the individual farms sometime took as much as 4 or 5 days.,(C) Some of the enzymes in the special mix multiply the growth of a bacteria that feeds on the young barley plants.,(D) This program was implemented at a time when more than half of barley growers nationwide were reported barely breaking even in their yearly expenses.,"(E) This was the second such NFA program to aid barley growers; the first one, 14 years ago, was started with high hopes, but did little to change their situation.",c,"1) The Green Peas Grocery Store in the remote wealthy enclave of Luxville charges more than the Green Peas Grocery Store in Oak City charges for the same items. Clearly, on any given item, the Green Peas grocery franchise is taking advantage of its location in Luxville to reap higher profits on that item.

In evaluating the argument, it would be most useful to compare",(A) the selection of specialty items in the Oak City location with the selection of specialty items in the Luxville location.,(B)the cost of transporting merchandise to the Oak City location with the comparable cost to the Luxville location.,(C) the average cost of the same or comparable items at other grocery stores in Oak City with the average cost at other stores in Luxville.,(D)the percent of average household income spent on groceries in Oak City with the comparable percentage in Luxville.,(E) the cost of these items in Oak City and in Luxville with the cost at other Green Peas stores throughout the state.,b,"1)Several critics have claimed that any contemporary poet who writes formal poetry—poetry that is rhymed and metered—is performing a politically conservative act. This is plainly false. Consider Molly Peacock and Marilyn Hacker, two contemporary poets whose poetry is almost exclusively formal and yet who are themselves politically progressive feminists.

The conclusion drawn above follows logically if which one of the following is assumed?",(A) No one who is a feminist is also politically conservative.,(B)No poet who writes unrhymed or unmetered poetry is politically conservative.,(C)No one who is politically progressive is capable of performing a politically conservative act,(D)Anyone who sometimes writes poetry that is not politically conservative never writes poetry that is politically conservative.,"(E)The content of a poet’s work, not the work’s form, is the most decisive factor in determining what political consequences, if any, the work will have.",c,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,64.41504060011357,None,61.416457100072876,None,66.91711540007964,None,1,1.305115700000897,66.91711540007964,None,66.91711540007964,None,66.91711540007964,None,66.91711540007964,None,66.91711540007964,None,66.91711540007964,None,66.91711540007964,None,68.25155119993724,69.75284279999323,69.76972740003839,None,69.76972740003839,None,69.76972740003839,None,69.76972740003839,None,1,1.5885157999582589,69.76972740003839,None,71.38767830003053,None,return,2.3073456999845803,69.76972740003839,None,72.10530030005611,None,space,0.6450628000311553,72.10530030005611,None,72.8676416000817,None,a,1.8187505998648703,72.8676416000817,75.3241338999942,return,2.409353099996224,72.8676416000817,75.3241338999942,72.8676416000817,None,72.8676416000817,None,72.8676416000817,None,72.8676416000817,None,72.8676416000817,None,75.30742170009762,77.80986759997904,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
005:0010,REGULATE,"2) Linda: In the 1800s, it was found that one in every six women who gave birth in hospitals died of a fever they had contracted after delivering the child and that the mortality was not as high if they gave birth at home with the help of a mid wife. It was found that the doctors had a poorer sense of hygiene and that their dirty hands and instruments were leading to pathogens entering a woman's bloodstream. Thankfully, hygienic conditions today are much better and women are safer.

Fiona: But doctors today are so overworked that a number of doctors, while aware of the need for better hygiene, barely find the time to wash their hands. The likelihood of infections caused by doctors is probably not any better.

Which of the following can be used by Fiona to further establish that Linda need not be correct in her reasoning?","(A) A nationwide survey found that doctors, especially experienced ones, are more prone to the belief that they could not possibly be carrying pathogens.","(B) It is reported that around 50,000 people die every year in our country from hospital acquired infections.",(C ) Compulsory hand cleansing is strictly adhered to by all doctors and nurses before every major surgical procedure.,"(D) During a study, doctors handling newborn babies self reported a hand cleansing rate of 90℅.","(E ) Nurses are not any better than doctors in adhering to strict cleansing schedules, especially when busy.",a,"2) In the years since the city of London imposed strict air-pollution regulations on local industry, the number of bird species seen in and around London has increased dramatically. Similar air-pollution rules should be imposed in other major cities.

Each of the following is an assumption made in the argument above EXCEPT:","(A) In most major cities, air-pollution problems are caused almost entirely by local industry.",(B) Air-pollution regulations on industry have a significant impact on the quality of the air. ,(C)The air-pollution problems of other major cities are basically similar to those once suffered by London. ,(D)An increase in the number of bird species in and around a city is desirable.,(E)The increased sightings of bird species in and around London reflect an actual increase in the number of species in the area. ,a,"2) About two million years ago, lava dammed up a river in western Asia and caused a small lake to form. The lake existed for about half a million years. Bones of an early human ancestor were recently found in the ancient lake-bottom sediments that lie on top of the layer of lava. Therefore, ancestors of modern humans lived in western Asia between two million and one-and-a-half million years ago.

Which one of the following is an assumption required by the argument?",(A)There were no other lakes in the immediate area before the lava dammed up the river.,(B)The lake contained fish that the human ancestors could have used for food.,(C)The lava that lay under the lake-bottom sediments did not contain any human fossil remains.,(D)The lake was deep enough that a person could drown in it.,(E)The bones were already in the sediments by the time the lake dried up.,e,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.89893000014126,77.89893000014126,b,0.5154387000948191,77.89893000014126,79.0438073000405,return,1.1053532999940217,77.89893000014126,79.0438073000405,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,77.89893000014126,79.02724740002304,81.52935540000908,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
005:0010,REGULATE,"3) The Americans with disabilities act (ADA) was designed to ensure that there is no discrimination against and unfair termination of differently-abled workers in the workplace. However, after the act was introduced, there has been a marked increase in unemployment among the differently-abled.

Which of the following best explains this seeming discrepancy?",(A) A number of differently-abled people chose not to work,"(B)Not willing to deal with the issues of workplace discrimination of the differently-abled, several companies recruited fewer of them in the first place","(C)Knowing that the act was about to be enforced, companies terminated some of the differently-abled while they had a chance",(D)There was no act introduced that would guarantee a job for the differently-abled,(E)The unemployment among the able-bodied has remained consistently high,b,"3) The ancient city of Cephesa was not buried by an eruption of Mt. Amnos is A.D. 310, as some believe. The eruption in the year 310 damaged the city, but it did not destroy it. Cephesa survived for another century before it finally met its destruction in another eruption around A.D. 415. 

Which of the following, if true, would most strengthen the author’s claim that the city of Cephesa was not buried by the eruption of Mt. Amnos in A.D. 310?",(A)The city of Cephesa is mentioned in a historical work known to have been written in A.D. 400.,"(B)Coins bearing the image of an emperor who lived around A.D. 410 have been discovered in the ruins of Cephesa, which were preserved by the cinders and ashes that buried the city. ",(C)Geological evidence shows the erruption of Mt. Amnos in A.D. 415 deposited a 10-foot layer of lava on the city of Cephesa  ,(D) Artworks from the city of Cephesa have been found in the ruins of another city known to have been desrtoyed in A.D. 420. ,(E)A hostorical work written in A.D. 430 refers to the eruption of Mt. Amnos in A.D. 415,b,"3)In jurisdictions where use of headlights is optional when visibility is good, drivers who use headlights at all times are less likely to be involved in a collision than are drivers who use headlights only when visibility is poor. Yet Highway Safety Department records show that making use of headlights mandatory at all times does nothing to reduce the overall number of collisions.

Which one of the following, if true, most helps to resolve the apparent discrepancy in the information above?","(A)In jurisdictions where use of headlights is optional when visibility is good, one driver in four uses headlights for daytime driving in good weather.",(B)A law making use of headlights mandatory at all times is not especially difficult to enforce.,(C)Only very careful drivers use headlights when their use is not legally required.,(D)There are some jurisdictions in which it is illegal to use headlights when visibility is good.,(E)The jurisdictions where use of headlights is mandatory at all times are those where daytime visibility is frequently poor.,c,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.62863739999011,81.62863739999011,c,1.0415185999590904,81.62863739999011,83.43093440006487,return,1.759937700117007,81.62863739999011,83.43093440006487,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,81.62863739999011,83.41423610015772,85.91671310015954,1,001,2019_Dec_05_1338,AcademicSR,3.2.4,60.00124806340307,
