selectBlock,greenText,redText,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,11.367524300003424,None,space,1.377684999955818,11.367524300003424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,0,0,24,0,0,0,0,,,,,,,,,,,12.767919600009918,None,18.80522820004262,20.808138600026723,18.80522820004262,20.808138600026723,1,1.188019199995324,18.80522820004262,20.808138600026723,20.79127830005018,None,22.798183600010816,24.81219740002416,22.798183600010816,23.81083190004574,23.79400270001497,24.795143500028644,24.795143500028644,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,0,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,1,1,2,0,0,0,0,,,,,,,,,,,,,26.797005700005684,28.798220700002275,26.797005700005684,28.798220700002275,2,0.6854489000397734,26.797005700005684,28.798220700002275,28.781760400044732,None,30.78287590004038,32.78463599999668,30.78287590004038,31.78354340000078,31.767513400001917,32.768160000036005,32.768160000036005,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,2,2,7,0,0,0,0,,,,,,,,,,,,,34.76998160005314,36.77237280004192,34.76998160005314,36.77237280004192,2,0.407132999971509,34.76998160005314,36.77237280004192,36.754179600044154,None,38.756563600036316,40.758200200041756,38.756563600036316,39.75730290001957,39.7403803000343,40.74148820003029,40.74148820003029,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,3,3,4,0,0,0,0,,,,,,,,,,,,,42.743343400012236,44.74439260002691,42.743343400012236,44.74439260002691,None,,42.743343400012236,44.74439260002691,44.7276841000421,None,46.73617250000825,48.74784180003917,46.73617250000825,47.747842900047544,47.713484700012486,48.7143602000433,48.7143602000433,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,4,4,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.716565100010484,52.717933400010224,50.716565100010484,52.717933400010224,2,0.3325147000141442,50.716565100010484,52.717933400010224,52.70206030004192,None,54.70584350003628,56.70489660004387,54.70584350003628,55.721185600035824,55.70377180003561,56.70489660004387,56.70489660004387,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,5,5,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.70626040000934,60.70803989999695,58.70626040000934,60.70803989999695,2,0.31081759999506176,58.70626040000934,60.70803989999695,60.690868100035004,None,62.692767500004265,64.69431760004954,62.692767500004265,63.693400100048166,63.67832410003757,64.67850209999597,64.67850209999597,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,5,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,6,6,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6798205000232,68.6813656000304,66.6798205000232,68.6813656000304,2,0.6892401000368409,66.6798205000232,68.6813656000304,68.66479810001329,None,70.66640610003378,72.66793300001882,70.66640610003378,71.66663240001071,71.65078500000527,72.65092919999734,72.65092919999734,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,7,7,12,0,0,0,0,,,,,,,,,,,,,74.65253040002426,76.65484990004916,74.65253040002426,76.65484990004916,2,0.7821942000300623,74.65253040002426,76.65484990004916,76.63771750003798,None,78.6400245000259,80.6410369000514,78.6400245000259,79.64043600001605,79.62400350003736,80.62526670005172,80.62526670005172,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,8,8,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62662200001068,84.62733610003488,82.62662200001068,84.62733610003488,None,,82.62662200001068,84.62733610003488,84.6116024000221,None,86.61464590003015,88.61449510004604,86.61464590003015,87.61408420000225,87.59782770002494,88.59787090000464,88.59787090000464,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,9,9,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.59944320004433,92.60110730002634,90.59944320004433,92.60110730002634,2,1.3936800999799743,90.59944320004433,92.60110730002634,92.58503310004016,None,94.58724320004694,96.5876997000305,94.58724320004694,95.5874803000479,95.57032900000922,96.57108980003977,96.57108980003977,None,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
2,green,red,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
1,green,red,0,10,10,19,0,0,0,0,,,,,,,,,,,,,98.57393980002962,100.5744736000197,98.57393980002962,100.5744736000197,2,1.7239218999748118,98.57393980002962,100.5744736000197,100.55743200000143,None,102.55962230003206,104.5609585000202,102.55962230003206,103.56034520000685,103.54353610001272,104.54426230001263,104.54426230001263,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_0959,Experiment1,3.2.4,59.88906150134699,
