ImMoney,DelayMoney,DelayDays,CueType1,rows,CueType2,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,choice.rt,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,11.067509500076994,None,space,1.4852251999545842,11.067509500076994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,,,,,,,,,,,,,,,,,,,,,,12.582319800043479,None,return,12.658918300177902,12.582319800043479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$48 ,$49 ,in 15 days,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,31.274671900086105,None,27.26088780001737,None,33.837173599982634,None,None,33.837173599982634,None,33.837173599982634,None,33.837173599982634,None,33.837173599982634,None,33.837173599982634,None,33.837173599982634,35.35131530021317,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$55 ,$62 ,in 97 days,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,37.83654360007495,None,,,39.86517720017582,None,1,39.86517720017582,None,39.86517720017582,None,39.86517720017582,None,39.86517720017582,None,39.86517720017582,None,39.86517720017582,41.373047000030056,1.0714317001402378,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$20 ,$37 ,in 32 days,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,43.874991400167346,None,,,45.90391090000048,None,None,45.90391090000048,None,45.90391090000048,None,45.90391090000048,None,45.90391090000048,None,45.90391090000048,None,45.90391090000048,47.411484400043264,,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.91292420006357,None,space,8.287488600006327,49.91292420006357,None,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$14 ,$25 ,in 19 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,64.22542480006814,None,,,66.2467235000804,None,2,66.2467235000804,None,66.2467235000804,None,66.2467235000804,None,66.2467235000804,None,66.2467235000804,None,66.2467235000804,67.76162630016916,1.2179229999892414,,,,,,,60.23701120004989,None,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$50 ,$65 ,in 61 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,70.23014370002784,None,,,72.24997630016878,None,2,72.24997630016878,None,72.24997630016878,None,72.24997630016878,None,72.24997630016878,None,72.24997630016878,None,72.24997630016878,73.74995700013824,1.5184708999004215,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$35 ,$63 ,in 162 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,76.23524930002168,None,,,78.2585631001275,None,1,78.2585631001275,None,78.2585631001275,None,78.2585631001275,None,78.2585631001275,None,78.2585631001275,None,78.2585631001275,79.77117710001767,1.4140657000243664,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
$40 ,$55 ,in 62 days,REGULATE,003:0013,REACT,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,82.24005710007623,None,,,84.2438201000914,None,2,84.2438201000914,None,84.2438201000914,None,84.2438201000914,None,84.2438201000914,None,84.2438201000914,None,84.2438201000914,85.74300740007311,1.9564675001893193,,,,,,,,,1,001,2019_Dec_12_0902,DelayDiscountPavlovia,3.2.4,60.17136804415528,
