ImMoney,DelayMoney,DelayDays,CueType,rows,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,text_2.started,text_2.stopped,cue.started,cue.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,56.54033400001936,None,space,2.514451800030656,56.54033400001936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,,,,,,,,,,,,,,,,,,,,,59.08089330000803,None,return,4.245838899980299,59.08089330000803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$48 ,$49 ,in 15 days,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,67.37083899998106,None,65.35154070000863,None,70.03101490001427,None,1,0.6877110000350513,70.03101490001427,None,70.03101490001427,None,70.03101490001427,None,70.03101490001427,None,70.03101490001427,None,70.03101490001427,71.54100179998204,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$55 ,$82 ,in 97 days,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,74.04217580001568,None,,,76.07564830000047,None,2,0.8516173000098206,76.07564830000047,None,76.07564830000047,None,76.07564830000047,None,76.07564830000047,None,76.07564830000047,None,76.07564830000047,77.57838680001441,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$20 ,$37 ,in 32 days,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,80.0804740000167,None,,,82.11586590000661,None,1,0.4429385000257753,82.11586590000661,None,82.11586590000661,None,82.11586590000661,None,82.11586590000661,None,82.11586590000661,None,82.11586590000661,83.61771060002502,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$20 ,$37 ,in 32 days,REGULATE,000:003,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,93.12518879998242,None,,,95.14358029997675,None,2,1.2711105999769643,95.14358029997675,None,95.14358029997675,None,95.14358029997675,None,95.14358029997675,None,95.14358029997675,None,95.14358029997675,96.6447341000312,86.11921049997909,None,91.14221560000442,None,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$48 ,$49 ,in 15 days,REGULATE,000:003,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,99.13022779999301,None,,,101.15365629998269,None,2,2.1570052999886684,101.15365629998269,None,101.15365629998269,None,101.15365629998269,None,101.15365629998269,None,101.15365629998269,None,101.15365629998269,102.66613540000981,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$55 ,$82 ,in 97 days,REGULATE,000:003,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,105.13488209998468,None,,,107.16218889999436,None,None,,107.16218889999436,None,107.16218889999436,None,107.16218889999436,None,107.16218889999436,None,107.16218889999436,None,107.16218889999436,108.67118070001015,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,REGULATE,000:003,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$25 ,$60 ,in 14 days,REGULATE,003:0013,,,,,0,1,1,1,0,0,0,7,,,,,,,,,,,,,115.12650160002522,None,,,117.15837469999678,None,None,,117.15837469999678,None,117.15837469999678,None,117.15837469999678,None,117.15837469999678,None,117.15837469999678,None,117.15837469999678,118.66328290000092,,,113.1250506999786,None,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$47 ,$50 ,in 160 days,REGULATE,003:0013,,,,,0,1,1,1,0,1,1,5,,,,,,,,,,,,,121.13179160002619,None,,,123.16063150000991,None,None,,123.16063150000991,None,123.16063150000991,None,123.16063150000991,None,123.16063150000991,None,123.16063150000991,None,123.16063150000991,124.66776209999807,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$15 ,$35 ,in 13 days,REGULATE,003:0013,,,,,0,1,1,1,0,2,2,6,,,,,,,,,,,,,127.13671350001823,None,,,129.16462789999787,None,None,,129.16462789999787,None,129.16462789999787,None,129.16462789999787,None,129.16462789999787,None,129.16462789999787,None,129.16462789999787,130.67271569999866,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$19 ,$25 ,in 53 days,REGULATE,003:0013,,,,,0,1,1,1,0,3,3,2,,,,,,,,,,,,,133.12483250000514,None,,,135.1531581999734,None,None,,135.1531581999734,None,135.1531581999734,None,135.1531581999734,None,135.1531581999734,None,135.1531581999734,None,135.1531581999734,136.6622645999887,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$54 ,$55 ,in 117 days,REGULATE,003:0013,,,,,0,1,1,1,0,4,4,0,,,,,,,,,,,,,139.13101650000317,None,,,141.15823020000244,None,None,,141.15823020000244,None,141.15823020000244,None,141.15823020000244,None,141.15823020000244,None,141.15823020000244,None,141.15823020000244,142.6662867999985,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$55 ,$65 ,in 61 days,REGULATE,003:0013,,,,,0,1,1,1,0,5,5,1,,,,,,,,,,,,,145.13481930003036,None,,,147.16936990001705,None,None,,147.16936990001705,None,147.16936990001705,None,147.16936990001705,None,147.16936990001705,None,147.16936990001705,None,147.16936990001705,148.6713019000017,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$14 ,$25 ,in 19 days,REGULATE,003:0013,,,,,0,1,1,1,0,6,6,4,,,,,,,,,,,,,151.12383140000748,None,,,153.15054370003054,None,None,,153.15054370003054,None,153.15054370003054,None,153.15054370003054,None,153.15054370003054,None,153.15054370003054,None,153.15054370003054,154.65958979999414,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$35 ,$64 ,in 162 days,REGULATE,003:0013,,,,,0,1,1,1,0,7,7,8,,,,,,,,,,,,,157.12857719999738,None,,,159.15729669999564,None,None,,159.15729669999564,None,159.15729669999564,None,159.15729669999564,None,159.15729669999564,None,159.15729669999564,None,159.15729669999564,160.6657000000123,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$31 ,$45 ,in 7 days,REGULATE,003:0013,,,,,0,1,1,1,0,8,8,3,,,,,,,,,,,,,163.13280479999958,None,,,165.1604666999774,None,None,,165.1604666999774,None,165.1604666999774,None,165.1604666999774,None,165.1604666999774,None,165.1604666999774,None,165.1604666999774,166.66976840002462,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$40 ,$55 ,in 62 days,REGULATE,003:0013,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,169.13798230001703,None,,,171.14918409998063,None,None,,171.14918409998063,None,171.14918409998063,None,171.14918409998063,None,171.14918409998063,None,171.14918409998063,None,171.14918409998063,172.65817579999566,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,REGULATE,003:0013,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
