textTypePlayer1,CueType,textTypePlayer2,Player1,Player2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,enter.keys,enter.rt,enter.started,enter.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.423112200107425,None,space,1.304581900127232,10.423112200107425,None,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,1patterns.png,3pattern.png,0,0,0,1,0,0,0,0,,,,,,,11.792011799989268,None,16.845670399954543,None,16.845670399954543,None,16.845670399954543,None,['1'],[16.0501087999437],16.845670399954543,None,return,16.84838299988769,16.845670399954543,None,33.77148830005899,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,1,1,3,,,,,,,,,37.74760210001841,None,37.74760210001841,None,37.74760210001841,None,['2'],[5.133035999955609],37.74760210001841,None,return,5.818939100019634,37.74760210001841,None,43.583263400010765,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,2,2,6,,,,,,,,,47.59067750000395,None,47.59067750000395,None,47.59067750000395,None,['2'],[1.7212100001052022],47.59067750000395,None,return,2.11955099995248,47.59067750000395,None,49.73876220011152,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,3,3,9,,,,,,,,,53.744785600109026,None,53.744785600109026,None,53.744785600109026,None,None,,53.744785600109026,None,return,0.9095934999641031,53.744785600109026,None,54.676238199928775,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,4,4,8,,,,,,,,,58.68302360014059,None,58.68302360014059,None,58.68302360014059,None,None,,58.68302360014059,None,return,1.1713109998963773,58.68302360014059,None,59.87967840000056,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,5,5,7,,,,,,,,,63.886824700050056,None,63.886824700050056,None,63.886824700050056,None,None,,63.886824700050056,None,return,1.3763472000136971,63.886824700050056,None,65.28500379994512,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REGULATE,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,6,6,1,,,,,,,,,69.29711899999529,None,69.29711899999529,None,69.29711899999529,None,None,,69.29711899999529,None,return,3.8371604999992996,69.29711899999529,None,73.1577447000891,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,7,7,2,,,,,,,,,77.16471750009805,None,77.16471750009805,None,77.16471750009805,None,None,,77.16471750009805,None,return,1.969359700102359,77.16471750009805,None,79.162746099988,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
Please indicate how many dollars you will give Player 1:   ,REACT,Please indicate how many dollars you will give Player 2:   ,None,None,0,0,0,1,0,8,8,4,,,,,,,,,83.16965529997833,None,83.16965529997833,None,83.16965529997833,None,None,,83.16965529997833,None,return,0.6202378999441862,83.16965529997833,None,83.81666849995963,None,1,001,2019_Nov_13_1703,TrustGame,3.2.4,60.17861015790028,
