Rows,CueType1,CueType2,nReps1,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.3776316998992115,None,space,3.356719500152394,7.3776316998992115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,1,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,,,17.763935799943283,None,12.778534800047055,None,19.89611730002798,None,19.89611730002798,None,19.89611730002798,None,return,6.070559300016612,19.89611730002798,None,19.89611730002798,None,5,19.89611730002798,None,26.01875020004809,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,1,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,30.508144499966875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,1,0,0,0,0,0,0,1,1,6,0,0,0,0,,,,,,,,,,,,,,,32.503487299894914,None,32.503487299894914,None,32.503487299894914,None,return,11.110841099871323,32.503487299894914,None,32.503487299894914,None,2,32.503487299894914,None,43.65618190006353,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,1,0,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,48.155993399908766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,0,1,0,0,0,0,0,2,2,1,,,,,0,0,0,0,,,,,,,50.140643999911845,None,,,,,,,,,,,,,,,5,,,,,52.20261489995755,None,52.20261489995755,None,52.20261489995755,None,52.20261489995755,None,return,7.33162930002436,52.20261489995755,None,52.20261489995755,None,59.61461380007677,None,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,0,1,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,0,1,0,0,0,0,0,3,3,0,,,,,0,0,0,0,,,,,,,63.58552660001442,None,,,,,,,,,,,,,,,3,,,,,65.58308820007369,None,65.58308820007369,None,65.58308820007369,None,65.58308820007369,None,return,10.7034034000244,65.58308820007369,None,65.58308820007369,None,76.34704339993186,None,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,0,1,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
000:010,REGULATE,REACT,1,0,0,0,0,0,0,4,4,2,0,0,0,0,,,,,,,,,,,,,,,80.34379610000178,None,80.34379610000178,None,80.34379610000178,None,return,8.054432099917904,80.34379610000178,None,80.34379610000178,None,3,80.34379610000178,None,88.44521920010448,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_14_1327,TrustGame,3.2.4,59.85221290540454,
