Rows,CueType1,CueType2,nReps1,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,begin.keys,begin.rt,begin.started,begin.stopped,enter.keys,enter.rt,typedWord,enter2.keys,enter2.rt,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,space,27.86336849979125,10.418091000057757,None,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,0,0,7,0,0,0,0,,,,,,,,,return,16.66328090010211,5,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,0,0,7,,,,,0,0,0,0,,,,,,,4,return,6.714346900116652,78.89433010015637,None,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,0,0,7,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,1,1,5,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,0,0,0,0,0,,,,,,,,,return,2.949642000021413,4,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,0,,,,,0,0,0,0,,,,,,,3,return,2.80350110004656,100.72889400017448,None,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,3,3,0,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,4,4,6,0,0,0,0,,,,,,,,,return,2.2230995998252183,2,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,4,4,6,,,,,0,0,0,0,,,,,,,3,return,1.8162000000011176,116.85583670018241,None,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,4,4,6,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,5,5,3,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,6,6,8,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,7,7,1,0,0,0,0,,,,,,,,,return,3.2247943999245763,2,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,7,7,1,,,,,0,0,0,0,,,,,,,3,return,1.8013772999402136,137.93948530009948,None,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,1,1,0,0,0,3,0,7,7,1,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,0,0,0,0,0,3,0,8,8,4,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
031:040,REGULATE,REACT,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
011:020,REACT,REGULATE,1,1,0,1,1,1,0,0,0,2,0,0,0,0,,,,,,,,,return,1.7258940001484007,3,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
011:020,REACT,REGULATE,1,1,0,1,1,1,0,0,0,2,,,,,0,0,0,0,,,,,,,4,return,1.8290832000784576,165.597376300022,None,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
011:020,REACT,REGULATE,1,1,0,1,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_15_1458,TrustGame,3.2.4,60.01759715373957,
