Rows,CueType1,CueType2,selectBlock,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,8.947377200005576,None,space,3.3964809000026435,8.947377200005576,None,,,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,2,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,22.384429699974135,None,14.398772099986672,None,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,1,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,24.38495080010034,24.38495080010034,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,1,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,26.38635880011134,26.38635880011134,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,2,0,0,0,1,0,3,3,3,,,,,,,,,,,,,,,28.388017600169405,28.388017600169405,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,2,0,0,0,1,0,4,4,4,,,,,,,,,,,,,,,30.389949599979445,30.389949599979445,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,1,0,0,0,1,0,5,5,5,,,,,,,,,,,,,,,32.3911117000971,32.3911117000971,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,2,0,0,0,1,0,6,6,6,,,,,,,,,,,,,,,34.39294379996136,34.39294379996136,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,2,0,0,0,1,0,7,7,7,,,,,,,,,,,,,,,36.39482509996742,36.39482509996742,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,1,0,0,0,1,0,8,8,8,,,,,,,,,,,,,,,38.395888400031254,38.395888400031254,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
011:020,REACT,REGULATE,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0903,TrustGame,3.2.4,59.61369131688162,
,,,,,,,,,,,,,,,,,,,,,,,,,,40.39839050010778,40.39839050010778,,,,,,,,,
