Rows,CueType1,CueType2,nReps1,Player1Var,Player2Var,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,typedWord,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,13.828178399940953,None,space,2.2560738001484424,13.828178399940953,None,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,26.119302799925208,None,18.125835299957544,None,28.230596399866045,None,28.230596399866045,None,28.230596399866045,None,28.230596399866045,None,return,4.412805699976161,28.230596399866045,None,4,28.230596399866045,None,32.70430829981342,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,37.69491650001146,None,37.69491650001146,None,37.69491650001146,None,37.69491650001146,None,return,2.6127854001242667,37.69491650001146,None,5,37.69491650001146,None,40.34613069985062,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,45.34985809982754,None,45.34985809982754,None,45.34985809982754,None,45.34985809982754,None,return,13.613519900012761,45.34985809982754,None,,45.34985809982754,None,59.01043919986114,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,64.01859039999545,None,64.01859039999545,None,64.01859039999545,None,64.01859039999545,None,return,1.12077989988029,64.01859039999545,None,,64.01859039999545,None,65.16135239996947,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,70.17243109992705,None,70.17243109992705,None,70.17243109992705,None,70.17243109992705,None,return,1.735207200050354,70.17243109992705,None,,70.17243109992705,None,71.93348230002448,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,76.94465509988368,None,76.94465509988368,None,76.94465509988368,None,76.94465509988368,None,return,1.2347315000370145,76.94465509988368,None,,76.94465509988368,None,78.20538920001127,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,83.21609499980696,None,83.21609499980696,None,83.21609499980696,None,83.21609499980696,None,return,0.4192588999867439,83.21609499980696,None,,83.21609499980696,None,83.66000039991923,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,88.67180519993417,None,88.67180519993417,None,88.67180519993417,None,88.67180519993417,None,return,0.5636562998406589,88.67180519993417,None,,88.67180519993417,None,89.26509010000154,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,94.27597489999607,None,94.27597489999607,None,94.27597489999607,None,94.27597489999607,None,return,0.4793225999455899,94.27597489999607,None,,94.27597489999607,None,94.7858257999178,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,99.79689569980837,None,99.79689569980837,None,99.79689569980837,None,99.79689569980837,None,return,0.36655489983968437,99.79689569980837,None,,99.79689569980837,None,100.19031859980896,None,1,001,2019_Nov_18_0938,TrustGame,3.2.4,59.938706616607725,
