Rows,CueType1,CueType2,nReps1,Player1Var,Player2Var,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,typedWord,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.started,enter2.stopped,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,enter2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,7.063119600061327,None,space,3.6473640999756753,7.063119600061327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,,,,,,,,23.247312100138515,None,12.756609700154513,None,20.839515900006518,None,20.839515900006518,None,20.839515900006518,None,return,2.382857699878514,20.839515900006518,None,20.839515900006518,None,2,20.839515900006518,None,25.279658999992535,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,30.25321380002424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,1,1,9,,,,,0,0,0,0,,,,,,,36.34138930006884,None,,,,,,,,,,,,,,,4,,,,,34.303577800048515,None,34.303577800048515,None,34.303577800048515,None,34.303577800048515,None,None,34.303577800048515,None,34.303577800048515,None,38.36091670021415,None,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,2,2,1,,,,,0,0,0,0,,,,,,,47.634341600118205,None,,,,,,,,,,,,,,,3,,,,,45.35761450021528,None,45.35761450021528,None,45.35761450021528,None,45.35761450021528,None,return,45.35761450021528,None,45.35761450021528,None,49.6521231001243,None,2.2490482998546213,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,,,,,58.34326580003835,None,,,54.64952279999852,None,54.64952279999852,None,54.64952279999852,None,return,3.6772010000422597,54.64952279999852,None,54.64952279999852,None,3,54.64952279999852,None,60.362611200194806,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,65.34897130005993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,4,4,8,0,0,0,0,,,,,,,,,,,70.15292690019123,None,,,67.36267410009168,None,67.36267410009168,None,67.36267410009168,None,return,2.771897600032389,67.36267410009168,None,67.36267410009168,None,4,67.36267410009168,None,72.17253650003113,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,4,4,8,,,,,,,,,,,,,,,77.15884590009227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,5,5,2,0,0,0,0,,,,,,,,,,,82.37968290015124,None,,,79.17089539999142,None,79.17089539999142,None,79.17089539999142,None,return,3.18747130013071,79.17089539999142,None,79.17089539999142,None,5,79.17089539999142,None,84.39907940011472,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,89.38541950006038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,6,6,5,0,0,0,0,,,,,,,,,,,94.87389910011552,None,,,91.39808910014108,None,91.39808910014108,None,91.39808910014108,None,return,3.4570067999884486,91.39808910014108,None,91.39808910014108,None,3,91.39808910014108,None,96.89174940017983,None,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,101.87939340015873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,7,7,6,,,,,0,0,0,0,,,,,,,108.50157860014588,None,,,,,,,,,,,,,,,5,,,,,105.88994450005703,None,105.88994450005703,None,105.88994450005703,None,105.88994450005703,None,return,105.88994450005703,None,105.88994450005703,None,110.51974540017545,None,2.580373000120744,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,8,8,0,,,,,0,0,0,0,,,,,,,119.6107900000643,None,,,,,,,,,,,,,,,3,,,,,117.5170470001176,None,117.5170470001176,None,117.5170470001176,None,117.5170470001176,None,return,117.5170470001176,None,117.5170470001176,None,121.62724860012531,None,2.073693700134754,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,9,9,4,,,,,0,0,0,0,,,,,,,131.33712570019998,None,,,,,,,,,,,,,,,3,,,,,128.62609630008228,None,128.62609630008228,None,128.62609630008228,None,128.62609630008228,None,return,128.62609630008228,None,128.62609630008228,None,133.33892770018429,None,2.692829200066626,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
000:010,REGULATE,REACT,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_18_0943,TrustGame,3.2.4,59.960090622765556,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.34278620011173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
