Rows,CueType1,CueType2,selectBlock,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,randomPresent.thisRepN,randomPresent.thisTrialN,randomPresent.thisN,randomPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,7.247487399959937,None,space,1.6173678999766707,7.247487399959937,None,,,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,0,0,21,0,0,0,0,,,,,,,,,,,,,,,18.898375999880955,None,10.908974400022998,None,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,0,1,1,1,,,,,,,,,,,,,,,20.91007860004902,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,0,2,2,2,,,,,,,,,,,,,,,22.911465300014243,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,0,0,21,0,3,3,3,,,,,,,,,,,,,,,24.913588299881667,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,0,4,4,4,,,,,,,,,,,,,,,26.91435300000012,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,0,5,5,5,,,,,,,,,,,,,,,28.91622480005026,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,0,0,21,0,6,6,6,,,,,,,,,,,,,,,30.900992600014433,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,0,0,21,0,7,7,7,,,,,,,,,,,,,,,32.90301020001061,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,0,8,8,8,,,,,,,,,,,,,,,34.904748199973255,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,1,1,30,0,0,0,0,,,,,,,,,,,,,,,36.90814569988288,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,1,1,30,0,1,1,1,,,,,,,,,,,,,,,38.90813959995285,38.90813959995285,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,1,1,30,0,2,2,2,,,,,,,,,,,,,,,40.90923559991643,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,1,0,0,0,4,0,1,1,30,0,3,3,3,,,,,,,,,,,,,,,42.91130069992505,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,1,1,30,0,4,4,4,,,,,,,,,,,,,,,44.91283069993369,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
041:050,REGULATE,REACT,2,0,0,0,4,0,1,1,30,0,5,5,5,,,,,,,,,,,,,,,46.914768599905074,None,,,2,001,2019_Nov_18_0906,TrustGame,3.2.4,60.075972051281234,
