Rows,CueType1,CueType2,selectBlock,Player1Var,Player2Var,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,6.985367299988866,None,space,1.2769857000093907,6.985367299988866,None,,,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,2,Player 1,Player 2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,18.298726300010458,None,10.31448829988949,None,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,2,Player 1,Player 2,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,20.298199200071394,20.298199200071394,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,2,Player 1,Player 2,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,22.29987889993936,22.29987889993936,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,24.301807600073516,24.301807600073516,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,26.303307899972424,26.303307899972424,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,28.3049751999788,28.3049751999788,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,6,6,2,,,,,,,,,,,,,,,30.30664790002629,30.30664790002629,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,32.30817979993299,32.30817979993299,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,34.30990059999749,34.30990059999749,,,2,001,2019_Nov_18_0929,TrustGame,3.2.4,59.96534004876911,
