Rows,CueType1,CueType2,nReps1,Player1Var,Player2Var,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,typedWord,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.76876960019581,None,space,1.1731609001290053,10.76876960019581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,9,,,,,0,0,0,0,,,,,,,21.973278200021014,None,13.991620799992234,None,24.055302700027823,None,24.055302700027823,None,24.055302700027823,None,24.055302700027823,None,return,3.2144016998354346,24.055302700027823,None,2,24.055302700027823,None,27.323906800011173,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,32.35753700020723,None,32.35753700020723,None,32.35753700020723,None,return,2.4803105001337826,32.35753700020723,None,32.35753700020723,None,32.35753700020723,None,34.89046580018476,None,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,39.88817910011858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,2,2,4,,,,,0,0,0,0,,,,,,,41.87292730016634,None,,,43.88502680021338,None,43.88502680021338,None,43.88502680021338,None,43.88502680021338,None,return,2.520922299940139,43.88502680021338,None,3,43.88502680021338,None,46.44854300003499,None,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,0,Player 1,Player 2,1,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,3,3,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,51.45576949999668,None,51.45576949999668,None,51.45576949999668,None,return,2.2459979001432657,51.45576949999668,None,51.45576949999668,None,51.45576949999668,None,53.75308070005849,None,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,58.75389470020309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
000:010,REGULATE,REACT,1,Player 1,Player 2,0,0,0,0,0,0,4,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,60.74660850013606,None,60.74660850013606,None,60.74660850013606,None,return,3.0351992999203503,60.74660850013606,None,60.74660850013606,None,60.74660850013606,None,63.82767940009944,None,2,001,2019_Nov_18_0941,TrustGame,3.2.4,60.16412775756359,
