Picture,LeftText,NeutralText,EmoType,RightText
musician.jpg,,Neutral,Neutral,Negative
angry1.jpg,,Neutral,Negative,Negative
biking.jpg,,Neutral,Neutral,Negative
baby.jpg,Neutral,Neutral,Neutral,Positive
school5.jpg,Neutral,Neutral,Positive,Positive
siblings.jpg,Neutral,Neutral,Positive,Positive
excited4.jpg,Neutral,Neutral,Positive,Positive
wedding.jpg,Neutral,Neutral,Positive,Positive
children.jpg,Neutral,Neutral,Positive,Positive
dessert.jpg,Neutral,Neutral,Positive,Positive
excited1.jpg,Neutral,Neutral,Positive,Positive
happy2.jpg,Neutral,Neutral,Positive,Positive
face.jpg,Neutral,Neutral,Neutral,Positive
band2.jpg,Neutral,Neutral,Neutral,Positive
couple2.jpg,Neutral,Neutral,Positive,Positive
mother.jpg,Neutral,Neutral,Positive,Positive
picnic2.jpg,Neutral,Neutral,Positive,Positive
dancing2.jpg,Neutral,Neutral,Positive,Positive
collab.jpg,Neutral,Neutral,Neutral,Positive
rugby.jpg,Neutral,Neutral,Neutral,Positive
school4.jpg,Neutral,Neutral,Neutral,Positive
angry2.jpg,,Neutral,Negative,Negative
bored.jpg,,Neutral,Negative,Negative
bungee.jpg,,Neutral,Neutral,Negative
camping.jpg,,Neutral,Neutral,Negative
depressed.jpg,,Neutral,Negative,Negative
gun.jpg,,Neutral,Negative,Negative
dancing.jpg,,Neutral,Neutral,Negative
doctor.jpg,,Neutral,Negative,Negative
frustratedpose7.jpg,,Neutral,Negative,Negative
gazing.jpg,,Neutral,Neutral,Negative
massage.jpg,,Neutral,Neutral,Negative
miserable.jpg,,Neutral,Negative,Negative
hangover.jpg,,Neutral,Negative,Negative
sad4.jpg,,Neutral,Negative,Negative
scared.jpg,,Neutral,Negative,Negative
shooting.jpg,,Neutral,Negative,Negative
War1.jpg,,Neutral,Negative,Negative
neutralface2.jpg,,Neutral,Neutral,Negative
toast.jpg,Neutral,Neutral,Positive,Positive
dancing1.jpg,Neutral,Neutral,Positive,Positive
baby1.jpg,Neutral,Neutral,Positive,Positive
cold.jpg,Neutral,Neutral,Neutral,Positive
cheerleader2.jpg,Neutral,Neutral,Positive,Positive
eating2.jpg,Neutral,Neutral,Positive,Positive
mother4.jpg,Neutral,Neutral,Positive,Positive
doctor3.jpg,Neutral,Neutral,Neutral,Positive
couple3.jpg,Neutral,Neutral,Positive,Positive
excited2.jpg,Neutral,Neutral,Positive,Positive
exercise.jpg,Neutral,Neutral,Positive,Positive
Parade1.jpg,Neutral,Neutral,Positive,Positive
baby4.jpg,Neutral,Neutral,Positive,Positive
mother3.jpg,Neutral,Neutral,Positive,Positive
gazing2.jpg,Neutral,Neutral,Neutral,Positive
picnic.jpg,Neutral,Neutral,Neutral,Positive
gazing4.jpg,Neutral,Neutral,Neutral,Positive
rockclimb.jpg,Neutral,Neutral,Neutral,Positive
frustratedpose.jpg,,Neutral,Negative,Negative
police.jpg,,Neutral,Negative,Negative
sad1.jpg,,Neutral,Negative,Negative
sadface.jpg,,Neutral,Negative,Negative
Shot3.jpg,,Neutral,Negative,Negative
soldier3.jpg,,Neutral,Negative,Negative
War2.jpg,,Neutral,Negative,Negative
scared2.jpg,,Neutral,Negative,Negative
gazing5.jpg,,Neutral,Neutral,Negative
guitar.jpg,,Neutral,Neutral,Negative
scared1.jpg,,Neutral,Negative,Negative
school.jpg,,Neutral,Neutral,Negative
sleepy.jpg,,Neutral,Neutral,Negative
surgery.jpg,,Neutral,Negative,Negative
yoga1.jpg,,Neutral,Neutral,Negative
soldier1.jpg,,Neutral,Negative,Negative
raft.jpg,,Neutral,Neutral,Negative
depressed2.jpg,,Neutral,Negative,Negative
school2.jpg,,Neutral,Neutral,Negative
depressed3.jpg,,Neutral,Negative,Negative
sad3.jpg,,Neutral,Negative,Negative
doctor2.jpg,,Neutral,Negative,Negative
war6.jpg,,Neutral,Negative,Negative
war3.jpg,,Neutral,Negative,Negative
solder.jpg,,Neutral,Negative,Negative
scary.jpg,,Neutral,Negative,Negative
sadpose1.jpg,,Neutral,Negative,Negative
sad2.jpg,,Neutral,Negative,Negative
police2.jpg,,Neutral,Negative,Negative
neonazi1.jpg,,Neutral,Negative,Negative
sad5.jpg,,Neutral,Negative,Negative
skier.jpg,,Neutral,Neutral,Negative
skydiving.jpg,,Neutral,Neutral,Negative
swimming.jpg,,Neutral,Neutral,Negative
sleepy2.jpg,,Neutral,Neutral,Negative
yoga2.jpg,,Neutral,Neutral,Negative
smiling.jpg,Neutral,Neutral,Positive,Positive
mother2.jpg,Neutral,Neutral,Positive,Positive
picnic1.jpg,Neutral,Neutral,Positive,Positive
astronaut.jpg,Neutral,Neutral,Neutral,Positive
band.jpg,Neutral,Neutral,Positive,Positive
cheerleader.jpg,Neutral,Neutral,Positive,Positive
couple1.jpg,Neutral,Neutral,Neutral,Positive
dancing3.jpg,Neutral,Neutral,Positive,Positive
baby2.jpg,Neutral,Neutral,Positive,Positive
excited3.jpg,Neutral,Neutral,Positive,Positive
frisbee.jpg,Neutral,Neutral,Positive,Positive
eating.jpg,Neutral,Neutral,Positive,Positive
school3.jpg,Neutral,Neutral,Neutral,Positive
excitedface2.jpg,Neutral,Neutral,Positive,Positive
gazing3.jpg,Neutral,Neutral,Neutral,Positive
Surprise2.jpg,Neutral,Neutral,Positive,Positive
happy.jpg,Neutral,Neutral,Positive,Positive
baby3.jpg,Neutral,Neutral,Positive,Positive
