CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,9.91834510024637,None,space,2.8281870000064373,9.91834510024637,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,003:0021,REACT,musician.jpg,Negative,Neutral,Neutral,Neutral,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,32.79049370018765,None,14.809597800020128,17.81268020020798,17.79472040012479,None,19.819838299881667,None,27.814876600168645,None,27.814876600168645,None,None,None,0.0032025999389588833,None,27.814876600168645,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,003:0021,REACT,angry1.jpg,Negative,Neutral,Negative,Neutral,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,47.7860226999037,None,,,,,34.79511319985613,None,42.78187179984525,47.752867199946195,42.78187179984525,None,None,None,0.015485850162804127,None,42.78187179984525,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,003:0021,REACT,biking.jpg,Negative,Neutral,Neutral,Neutral,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,62.78167890012264,None,,,,,49.79702610010281,None,57.79456770000979,62.76598070003092,57.79456770000979,None,None,None,0.015779349952936172,None,57.79456770000979,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,003:0021,REACT,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7834772001952,None,space,4.730818099807948,64.7834772001952,None,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,0057:75,REACT,police.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,0,0,1,,,,,,,89.55405380018055,None,71.5412193001248,74.54150580009446,74.5250575998798,None,76.54225570010021,None,84.55013279989362,89.52070120023564,84.55013279989362,None,None,None,0.015702949836850166,None,84.55013279989362,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,0057:75,REACT,sadface.jpg,Negative,Neutral,Negative,Neutral,,,,,,,,,0,0,0,3,0,1,1,3,,,,,,,104.5499831000343,None,,,,,91.56266950024292,None,99.54596860008314,104.51666980003938,99.54596860008314,None,None,None,0.015787150245159864,None,99.54596860008314,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,0057:75,REACT,raft.jpg,Negative,Neutral,Neutral,Neutral,,,,,,,,,0,0,0,3,0,2,2,16,,,,,,,119.54570859996602,None,,,,,106.55941969994456,None,114.54168150015175,119.51245430018753,114.54168150015175,None,None,None,0.01578134996816516,None,114.54168150015175,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
REGULATE,0057:75,REACT,school.jpg,Negative,Neutral,Neutral,Neutral,,,,,,,,,0,0,0,3,0,3,3,11,,,,,,,134.54141120007262,None,,,,,121.56124840024859,None,129.5540275000967,134.52471890021116,129.5540275000967,None,None,None,0.015801250003278255,None,129.5540275000967,None,,,,,,,1,001,2019_Dec_16_1633,EmotRegPavlovia,3.2.4,59.97961900767622,
