CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,10.476125699991826,None,space,1.2058574000257067,10.476125699991826,None,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,11.74114549998194,13.750158599985298,13.716935399977956,None,15.750828099960927,None,23.731203100003768,None,None,None,0.008781080017797649,None,26.710366799961776,None,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,003:0021,REACT,picnic.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,28.719700099958573,None,36.719075899978634,None,None,None,0.010887589945923537,None,39.70483810000587,None,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,003:0021,REACT,frustratedpose7.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,41.71619989996543,None,49.7137306999648,52.69883159996243,None,None,0.01161629002308473,None,52.71524059999501,None,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,003:0021,REACT,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,sadpose1.jpg,,,,,,,,,0,0,0,4,0,0,0,5,,,,,,,57.203191599983256,59.20551790000172,59.18791280000005,None,61.197041899955366,None,69.21310110000195,None,4,1.848,0.011329490051139146,None,,,54.71805809997022,None,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,war3.jpg,,,,,,,,,0,0,0,4,0,1,1,16,,,,,,,,,,,72.20475669996813,None,80.20528339996235,83.19088299997384,None,None,0.011995790060609579,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,parade1.jpg,,,,,,,,,0,0,0,4,0,2,2,14,,,,,,,,,,,83.21594079997158,None,91.21506359998602,94.2003582000034,None,None,0.011279390018898994,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,picnic.jpg,,,,,,,,,0,0,0,4,0,3,3,2,,,,,,,,,,,94.2226878000074,None,102.20770540001104,105.19309049996082,None,None,0.011142690025735646,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,mother2.jpg,,,,,,,,,0,0,0,4,0,4,4,11,,,,,,,,,,,105.21335949999047,None,113.21642109996174,116.20159640000202,None,None,0.011329189990647137,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,doctor3.jpg,,,,,,,,,0,0,0,4,0,5,5,7,,,,,,,,,,,116.22619650000706,None,124.20889229996828,127.19388279999839,None,None,0.011155989952385426,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,biking.jpg,,,,,,,,,0,0,0,4,0,6,6,8,,,,,,,,,,,127.21887639997294,None,135.21781999996165,None,3,2.182,0.011840689985547215,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
REGULATE,0075:93,REACT,gazing4.jpg,,,,,,,,,0,0,0,4,0,7,7,6,,,,,,,,,,,138.2102691999753,None,146.20947499998147,None,3,2.316,0.01175098994281143,None,,,,,1,001,2019_Oct_21_1059,EmotRegPavlovia,3.2.4,59.95405120727696,
