CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,Iti.started,Iti.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,13.590387400006875,None,space,3.1342477000434883,13.590387400006875,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,musician.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,16.79354460001923,18.802469299989752,18.78548540000338,None,20.799367200001143,None,28.783059199980926,None,5,2.696,0.009148479963187128,None,31.762698700011242,None,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,picnic1.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,33.7715457000304,None,41.75478620000649,None,3,2.882,0.011299289995804429,None,44.74050900002476,None,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,frustratedpose7.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,46.74846869998146,None,54.74853929999517,57.73510270001134,None,None,0.010953689983580261,None,57.76848580001388,None,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.76995960000204,None,space,4.44260559999384,59.76995960000204,None,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,gazing.jpg,,,,,,,,,0,0,0,0,0,0,0,5,,,,,,,64.23996259999694,66.24149789998773,66.22415820002789,None,68.24498790001962,None,76.25000639999053,79.23585769999772,None,None,0.011719790054485202,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,rockclimb.jpg,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,79.2693750000326,None,87.2584169000038,None,None,None,0.011646390077657998,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,soldier3.jpg,,,,,,,,,0,0,0,0,0,2,2,13,,,,,,,,,,,90.25011419999646,None,98.25382220000029,101.2365663999808,None,None,0.010346890019718558,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
REGULATE,003:0021,REACT,dessert.jpg,,,,,,,,,0,0,0,0,0,3,3,14,,,,,,,,,,,101.26002440002048,None,109.24467590003042,112.23005320003722,None,None,0.014581389958038926,None,,,,,,,,,1,001,2019_Oct_21_1145,EmotRegPavlovia,3.2.4,59.88350263227313,
