CueType1,rows,CueType2,Picture,LeftText,NeutralText,EmoType,RightText,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,Iti.started,Iti.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,rating_2.response,rating_2.rt,rating_2.started,rating_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,13.239387799985707,None,space,6.103009699843824,13.239387799985707,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,003:0021,REACT,musician.jpg,None,Neutral,Neutral,Negative,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,37.48315489990637,None,21.40557250007987,24.405794099904597,24.405794099904597,None,26.421897999942303,None,34.418301899917424,None,34.418301899917424,None,34.418301899917424,None,2,3.047,0.008989570196717978,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,003:0021,REACT,angry1.jpg,None,Neutral,Negative,Negative,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,50.54428859986365,None,,,,,39.496429699938744,None,47.50811839988455,None,47.50811839988455,None,47.50811839988455,None,3,3.015,0.010617089923471212,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,003:0021,REACT,biking.jpg,None,Neutral,Neutral,Negative,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,64.45650459988974,None,,,,,52.557673800038174,None,60.568946700077504,None,60.568946700077504,None,60.568946700077504,None,1,3.866,0.011013889918103814,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,003:0021,REACT,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.45703669986688,None,space,1.74980410002172,66.45703669986688,None,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,depressed3.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,0,0,1,,,,,,,86.09016679995693,None,70.22957329987548,73.22959219990298,73.21298739989288,None,75.28244420001283,None,83.23754170001484,None,83.23754170001484,None,83.23754170001484,None,4,2.833,0.012161590158939362,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,sleepy2.jpg,None,Neutral,Neutral,Negative,,,,,,,,,0,0,0,4,0,1,1,16,,,,,,,98.96891999989748,None,,,,,88.10151940002106,None,96.11671369988471,None,96.11671369988471,None,96.11671369988471,None,1,2.832,0.010315789841115475,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,sad2.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,2,2,9,,,,,,,112.97908059996553,None,,,,,100.97749459999613,None,108.9923832998611,None,108.9923832998611,None,108.9923832998611,None,1,3.967,0.010142890037968755,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
REGULATE,0075:93,REACT,war3.jpg,None,Neutral,Negative,Negative,,,,,,,,,0,0,0,4,0,3,3,5,,,,,,,133.22884880006313,None,,,,,114.99574090004899,None,123.02139859995805,127.99127530003898,123.02139859995805,128.02517060004175,123.02139859995805,128.02517060004175,None,None,0.009497590130195022,None,,,,,,,1,001,2020_Feb_06_0915,EmotRegPavlovia,3.2.4,59.83484384632835,
