CueType,rows,CueType2,Picture1,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.561972900060937,None,space,43.845638499828056,7.561972900060937,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\friedChicken.jpg,FoodPics\F4H\bagels.jpg,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,51.47050020005554,56.469706600066274,56.469706600066274,None,58.52012509992346,None,66.47933860006742,None,None,None,0.012939519947394729,None,66.47933860006742,None,71.44867770001292,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\croissant.jpg,FoodPics\F4H\banana.jpg,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,73.50717479991727,None,81.44021870009601,86.41102729993872,None,None,0.01576973986811936,None,81.44021870009601,None,86.44440030003898,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,FoodPics\pasta.jpeg,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,88.50413329992443,None,96.43623499991372,101.40692520001903,None,None,0.015787640120834112,None,96.43623499991372,None,101.44017140008509,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REACT,0010:0015,REGULATE,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.4418663000688,None,space,2.8136825999245048,103.4418663000688,None,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0043:0048,REACT,None,FoodPics\F4H\cookies2.jpg,,,,,,,,,0,0,0,7,0,0,0,2,,,,,,,106.2910684000235,111.2984420999419,111.28183129988611,None,113.35091300006025,None,121.29023010004312,126.26076869992539,None,None,0.01572373998351395,None,121.29023010004312,None,126.29417410003953,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0043:0048,REACT,None,FoodPics\F4H\bread.jpg,,,,,,,,,0,0,0,7,0,1,1,1,,,,,,,,,,,128.35929489997216,None,136.28611960005946,141.2566349999979,None,None,0.015806139912456274,None,136.28611960005946,None,141.29009220004082,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0043:0048,REACT,None,FoodPics\F4H\sushi2.jpg,,,,,,,,,0,0,0,7,0,2,2,4,,,,,,,,,,,143.35484199994244,None,151.28192509990185,156.25263609993272,None,None,0.015711540123447776,None,151.28192509990185,None,156.28583399998024,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
REGULATE,0043:0048,REACT,None,FoodPics\F4H\sunchips.jpg,,,,,,,,,0,0,0,7,0,3,3,3,,,,,,,,,,,158.35208359989338,None,166.2941590999253,171.26497259992175,None,None,0.01580244000069797,None,166.2941590999253,None,171.28145079989918,None,,,,,,,1,001,2019_Dec_12_1123,FoodRegPavlovia,3.2.4,59.94229950786969,
