CueType,rows,CueType2,Picture,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,cue.started,cue.stopped,ISI.started,ISI.stopped,Image.started,Image.stopped,ratingQ.started,ratingQ.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,6.389600800117478,None,space,3.0434351000003517,6.389600800117478,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REACT,0010:0015,REGULATE,FoodPics\F4H\banana.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,9.494993400061503,14.497845400124788,14.481155200162902,None,16.54607200017199,None,24.507693000137806,None,None,None,0.012922429945319891,None,24.507693000137806,None,29.476939200190827,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REACT,0010:0015,REGULATE,FoodPics\F4H\breadtwists.jpg,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,31.53791940002702,None,39.468710700049996,44.439496600069106,None,None,0.015772810205817223,None,39.468710700049996,None,44.47291040001437,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REACT,0010:0015,REGULATE,FoodPics\F4H\bagels.jpg,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,46.53230360010639,None,54.46714010019787,59.43524150014855,None,None,0.014952610014006495,None,54.46714010019787,None,59.46861660014838,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REACT,0010:0015,REGULATE,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.470365200191736,None,space,1.5624764999374747,61.470365200191736,None,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\cakes.jpg,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,63.06858150009066,68.07577590015717,68.0589806002099,None,70.12160230008885,None,78.0674712001346,83.03821170004085,None,None,0.01570550980977714,None,78.0674712001346,None,83.07165990001522,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chips2.jpg,,,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,85.12999290018342,None,93.06322750006802,98.03429430001415,None,None,0.01576090999878943,None,93.06322750006802,None,98.0674645002,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chips3.jpg,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,100.12567070010118,None,108.05924590001814,113.02978660003282,None,None,0.01579460990615189,None,108.05924590001814,None,113.06326370011084,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chocballs.jpg,,,,,,,,,0,0,0,0,0,3,3,5,,,,,,,,,,,115.29051990015432,None,123.0715143000707,128.04226540005766,None,None,0.015668810112401843,None,123.0715143000707,None,128.05876800022088,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\cheese.jpg,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,130.13848160021007,None,138.06706310017034,143.03808280010708,None,None,0.015774110099300742,None,138.06706310017034,None,143.0711425000336,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chickennuggs.jpg,,,,,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,145.13048120005988,None,153.0631078002043,158.03365840017796,None,None,0.015747609548270702,None,153.0631078002043,None,158.06721080001444,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chips.jpg,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,160.1260161001701,None,168.07537100021727,173.04638900002465,None,None,0.0157008096575737,None,168.07537100021727,None,173.0627231001854,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\cheesepuffs.jpg,,,,,,,,,0,0,0,0,0,7,7,3,,,,,,,,,,,175.13557260017842,None,183.0711495000869,188.04190400009975,None,None,0.015720309922471642,None,183.0711495000869,None,188.07530790008605,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\brownies2.jpg,,,,,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,190.11777940019965,None,198.06700170016848,203.03778580017388,None,None,0.015700910007581115,None,198.06700170016848,None,203.07105580018833,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,FoodPics\F4H\chickenkebab.jpg,,,,,,,,,0,0,0,0,0,9,9,4,,,,,,,,,,,205.1301914001815,None,213.0628866001498,218.03357970016077,None,None,0.01580040971748531,None,213.0628866001498,None,218.0668904001359,None,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
REGULATE,004:0014,REACT,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_1635,FoodRegPavlovia,3.2.4,60.00049199381076,
,,,,,,,,,,,,,,,,,,,,,,,,,,220.0683796000667,225.07293130015023,225.0559972000774,None,,,,,,,,,,,,,,,,,,,,,,,,,
