MainLeftText,MainRightText,MainDilemmas,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,riskyAdDis,Evgamble,sureGroup,sureGroupText
Workers in Room A: 5,Probability of escape: 35%,"• There has been an accident in the basement of an office building

• A pipe has broken and is releasing a lethal gas into the building's ventilation system","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 3 workers in Room B lived.

The  ","The 3 workers in Room B died. 

The 5 workers in Room A were saved.",5,50, workers in Room A,ad,3,3,Workers in Room B: 3
Workers in Room A: 10,Probability of escape: 50%,"• If nothing is done, the gas will travel upward to Room A and cause the death of all workers there

• You are the building manager","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 10 workers in Room A were saved.",10,35, workers in Room A,dis,3.5,4,Workers in Room B: 4
Workers in Room A: 6,Probability of escape: 65%,"• You know that the only way to avoid the deaths of the workers in Room A is to block the main vent immediately by hitting a button that will close one of the vent doors

• You also know that if you close the vent door the gas will be diverted into a different room, Room B, and cause the death of the workers there","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 6 workers in Room A were saved.",6,65, workers in Room A,EQUAL,~4,4,Workers in Room B: 4
Workers in Room A: 12,Probability of escape: 50%,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 6 workers in Room B lived.

The  ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,EQUAL,6,6,Workers in Room B: 6
Workers in Room A: 5,Probability of escape: 65%,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Hit the button to divert the gas to Room B, killing the workers there
Do nothing: The workers in Room B will live, the group in Room A has a chance of escaping","The 4 workers in Room B lived.

The  ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,dis,3.25,4,Workers in Room B: 4
People on bus: 7,"Probability bus will 
drive to safety: 35%","• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The   ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,dis,3.5,2,People in the car: 2
People on bus: 9,"Probability bus will 
drive to safety: 35%","• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The   ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,EQUAL,~6,6,People in the car: 6
People on bus: 6,"Probability bus will 
drive to safety: 50%","• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The   ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,EQUAL,~2,2,People in the car: 2
People on bus: 10,"Probability bus will 
drive to safety: 65%","• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The   ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,ad,6.5,7,People in the car: 7
People on bus: 7,"Probability bus will 
drive to safety: 35%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Move your crane to push the bus, certainly killing the people in the car
Do nothing: The person in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The   ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,ad,-3.5,4,People in the car: 4
"People drowning
 in the west: 11","Probability of alternate 
rescue boat reaching them: 50%","• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The   ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people drowing in the west,dis,5.5,5,People drowning in the east: 5
"People drowning
 in the west: 10","Probability of alternate 
rescue boat reaching them: 35%","• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The   ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people drowing in the west,ad,6.5,6,People drowning in the east: 6
"People drowning
 in the west: 8","Probability of alternate 
rescue boat reaching them: 50%","• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The   ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people drowing in the west,dis,4,3,People drowning in the east: 3
"People drowning
 in the west: 8","Probability of alternate 
rescue boat reaching them: 65%","• You also know that the only other rescue boat in the area is much further to the west, so would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The   ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people drowing in the west,EQUAL,~3,2,People drowning in the east: 2
"People drowning
 in the west: 12","Probability of alternate 
rescue boat reaching them: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Change your course to head towards the group, leaving the people in the east to die
Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The   ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people drowing in the west,EQUAL,6,6,People drowning in the east: 6
"Repairmen on 
main track: 6","Probability of 
evacuation: 35%","• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The  ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,EQUAL,3,3,Repairmen on sidetrack: 3
"Repairmen on 
main track: 7","Probability of 
evacuation: 65%","• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 3 repairmen on the sidetrack lived.

The  ","The 3 repairmenon the sidetrack  died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,ad,2.45,3,Repairmen on sidetrack: 3
"Repairmen on 
main track: 5","Probability of 
evacuation: 65%","• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 2 repairmen on the sidetrack lived.

The  ","The 2 repairmen on the sidetrack  died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,dis,-3.25,2,Repairmen on sidetrack: 2
"Repairmen on 
main track: 6","Probability of 
evacuation:  50%","• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 4 repairmen on the sidetrack lived.

The  ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,EQUAL,~4,4,Repairmen on sidetrack: 4
"Repairmen on 
main track: 7","Probability of 
evacuation: 50%","Consider each of the following scenarios and, for each one, determine what course of action you will take.","Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there
Do nothing: The repairmen on the sidetrack will live, the other group has a chance of evacuating","The 2 repairmen on the sidetrack lived.

The  ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,dis,2.45,2,Repairmen on sidetrack: 2
