sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,reset.thisRepN,reset.thisTrialN,reset.thisN,reset.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77506470005028,None,space,1.3302841999102384,11.77506470005028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.136269900016487,None,return,0.24119019997306168,13.136269900016487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$4.50 ,$6.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17.421378000057302,None,15.404686599969864,None,19.448169799987227,None,2,1.4974323000060394,19.448169799987227,None,19.448169799987227,None,19.448169799987227,None,19.448169799987227,None,19.448169799987227,None,19.448169799987227,20.959602700080723,19.448169799987227,None,19.448169799987227,None,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$2.00 ,$4.25 ,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,23.46350519999396,None,,,25.489481500000693,None,2,1.6158833000808954,25.489481500000693,None,25.489481500000693,None,25.489481500000693,None,25.489481500000693,None,25.489481500000693,None,25.489481500000693,26.998147399979644,25.489481500000693,None,25.489481500000693,None,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$3.75 ,$7.50 ,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,29.500092800008133,None,,,31.53232790005859,None,1,1.5732081000460312,31.53232790005859,None,31.53232790005859,None,31.53232790005859,None,31.53232790005859,None,31.53232790005859,None,31.53232790005859,33.035889900056645,31.53232790005859,None,31.53232790005859,None,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.543430200079456,None,space,2.0898158999625593,35.543430200079456,None,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$1.50 ,$3.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,0.0,WIN,1.875,ad,,,,,,,,,0,0,0,0,0,0,0,6,,,,,,,,,,,,,41.67675790004432,None,,,43.695060900063254,None,2,1.4902316000079736,43.695060900063254,None,43.695060900063254,None,43.695060900063254,None,43.695060900063254,None,43.695060900063254,None,43.695060900063254,45.1964222000679,43.695060900063254,None,43.695060900063254,None,,,,,,,39.67677760007791,None,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$4.25 ,$5.50 ,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-2.25,dis,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,47.66542289999779,None,,,49.685408400022425,None,2,1.8837777000153437,49.685408400022425,None,49.685408400022425,None,49.685408400022425,None,49.685408400022425,None,49.685408400022425,None,49.685408400022425,51.18442689999938,49.685408400022425,None,49.685408400022425,None,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
$3.50 ,$7.00 ,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,WIN,2.45,dis,,,,,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,53.6702682999894,None,,,55.69112119998317,None,2,1.9583291000453755,55.69112119998317,None,55.69112119998317,None,55.69112119998317,None,55.69112119998317,None,55.69112119998317,None,55.69112119998317,57.20600000000559,55.69112119998317,None,55.69112119998317,None,,,,,,,,,1,001,2019_Nov_07_1346,SlotMachTest,3.2.4,60.12310807560161,
