sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,choice.rt,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,10.756558299995959,None,space,1.7427836999995634,10.756558299995959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52826430008281,None,return,2.226930300006643,12.52826430008281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$4.50 ,$6.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18.79565690003801,None,16.781054300023243,None,20.83759710006416,None,None,20.83759710006416,None,20.83759710006416,None,20.83759710006416,None,20.83759710006416,None,20.83759710006416,None,20.83759710006416,22.352649900014512,20.83759710006416,None,20.83759710006416,None,,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$2.00 ,$4.25 ,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,24.838244300102815,None,,,26.861656700028107,None,2,26.861656700028107,None,26.861656700028107,None,26.861656700028107,None,26.861656700028107,None,26.861656700028107,None,26.861656700028107,28.374726700014435,26.861656700028107,None,26.861656700028107,None,0.6134878000011668,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$3.75 ,$7.50 ,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,30.87604880006984,None,,,32.91555520007387,None,1,32.91555520007387,None,32.91555520007387,None,32.91555520007387,None,32.91555520007387,None,32.91555520007387,None,32.91555520007387,34.429356200038455,32.91555520007387,None,32.91555520007387,None,1.9037362999515608,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91840140009299,None,space,3.180919599952176,36.91840140009299,None,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$2.25 ,$6.75 ,35.0,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0.0,LOSE,-2.3625,dis,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,44.13735820003785,None,,,46.139839600073174,None,1,46.139839600073174,None,46.139839600073174,None,46.139839600073174,None,46.139839600073174,None,46.139839600073174,None,46.139839600073174,47.640353800030425,46.139839600073174,None,46.139839600073174,None,2.135753999929875,,,,,,,42.13982370006852,None,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$4.25 ,$7.00 ,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,LOSE,-3.5,ad,,,,,0,0,0,0,0,1,1,9,,,,,,,,,,,,,50.12563610007055,None,,,52.14754030003678,None,1,52.14754030003678,None,52.14754030003678,None,52.14754030003678,None,52.14754030003678,None,52.14754030003678,None,52.14754030003678,53.66176909999922,52.14754030003678,None,52.14754030003678,None,2.431938000023365,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$8.00 ,$12.50 ,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,WIN,8.125,ad,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,56.130868500098586,None,,,58.158266900107265,None,2,58.158266900107265,None,58.158266900107265,None,58.158266900107265,None,58.158266900107265,None,58.158266900107265,None,58.158266900107265,59.66745530010667,58.158266900107265,None,58.158266900107265,None,1.6849551000632346,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
$1.50 ,$3.75 ,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,0.0,WIN,1.875,ad,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,62.1355074000312,None,,,64.15524410002399,None,2,64.15524410002399,None,64.15524410002399,None,64.15524410002399,None,64.15524410002399,None,64.15524410002399,None,64.15524410002399,65.6551419000607,64.15524410002399,None,64.15524410002399,None,2.3279627000447363,,,,,,,,,1,001,2019_Nov_07_1402,SlotMachTest,3.2.4,60.1014271711706,
