sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,instructions,PracticeSure,PracticeGamble,PracticeGambleProb,cueRows,WinLoss,Evgamble,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,choice.rt,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3542002000031,None,space,11.91572879999876,119.3542002000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.29539389995625,None,return,7.174147900019307,131.29539389995625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$4.50 ,$6.75 ,50.0,000:0010,LOOK,50%  WIN,100%  WIN,1.0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,142.52049879997503,None,140.50237629999174,None,144.56371389998822,None,None,144.56371389998822,None,144.56371389998822,None,144.56371389998822,None,144.56371389998822,None,144.56371389998822,None,144.56371389998822,146.0737155000097,144.56371389998822,None,144.56371389998822,None,,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$2.00 ,$4.25 ,65.0,00010:0020,REGULATE,65%  WIN,100%  WIN,1.0,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,148.57593269995414,None,,,150.59985499997856,None,2,150.59985499997856,None,150.59985499997856,None,150.59985499997856,None,150.59985499997856,None,150.59985499997856,None,150.59985499997856,152.1125536999898,150.59985499997856,None,150.59985499997856,None,1.662407300027553,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$3.75 ,$7.50 ,35.0,00020:0030,REGULATE,35%  LOSE,100%  LOSE,0.0,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,154.61495169997215,None,,,156.64714759995695,None,2,156.64714759995695,None,156.64714759995695,None,156.64714759995695,None,156.64714759995695,None,156.64714759995695,None,156.64714759995695,158.1507086000056,156.64714759995695,None,156.64714759995695,None,2.3352161000366323,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.65846979996422,None,space,1.4922966999583878,160.65846979996422,None,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$2.50 ,$6.75 ,50,0000:0010,LOOK,50%  WIN,100%  WIN,1,"In this part of the study, you will be making a series of monetary decisions.

You will have the choice between taking a gamble,  which will be shown on the left side of the screen, or choosing a sure option, which will be on the right side of the screen. 

For each gamble, you will have a 50% chance of winning money, while the sure option guarantees payoff. 

Press space to continue. ",$4.50 ,$6.75 ,50%,0000:0006,WIN,3.375,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,166.1927078999579,None,,,168.19093569996767,None,2,168.19093569996767,None,168.19093569996767,None,168.19093569996767,None,168.19093569996767,None,168.19093569996767,None,168.19093569996767,169.69367529999,168.19093569996767,None,168.19093569996767,None,1.7346132000093348,,,,,,,164.1950883999816,None,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$4.25 ,$5.50 ,50,None,None,50%  LOSE,100%  LOSE,0,None,None,None,None,None,LOSE,2.25,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,172.17944939999143,None,,,174.19846260000486,None,2,174.19846260000486,None,174.19846260000486,None,174.19846260000486,None,174.19846260000486,None,174.19846260000486,None,174.19846260000486,175.6982748999726,174.19846260000486,None,174.19846260000486,None,1.3430586999747902,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$3.50 ,$7.00 ,35,None,LOOK,35%  WIN,100%  WIN,1,None,None,None,None,None,WIN,2.45,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,178.1838720999658,None,,,180.2030444999691,None,2,180.2030444999691,None,180.2030444999691,None,180.2030444999691,None,180.2030444999691,None,180.2030444999691,None,180.2030444999691,181.7035210999893,180.2030444999691,None,180.2030444999691,None,1.899769399955403,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
$8.00 ,$12.50 ,65,None,LOOK,65%  WIN,100%  WIN,1,None,$3.75 ,$7.50 ,35%,None,WIN,8.125,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,184.18852409999818,None,,,186.21523709996836,None,2,186.21523709996836,None,186.21523709996836,None,186.21523709996836,None,186.21523709996836,None,186.21523709996836,None,186.21523709996836,187.72499139996944,186.21523709996836,None,186.21523709996836,None,1.2945760000147857,,,,,,,,,1,001,2019_Oct_21_1220,SlotMachTest,3.2.4,59.969367630186596,
