sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,13.628656499786302,None,space,2.7753437999635935,13.628656499786302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.42136889998801,None,space,2.510515799978748,16.42136889998801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.956838799873367,None,return,3.751478899968788,18.956838799873367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.80242439988069,None,24.72848349995911,None,29.791434400016442,None,2,3.68453640001826,29.791434400016442,None,29.791434400016442,None,29.791434400016442,None,29.791434400016442,None,29.791434400016442,None,29.791434400016442,31.3003938999027,29.791434400016442,None,29.791434400016442,None,35.81636259984225,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,45.86234140000306,None,,,41.848591999849305,None,None,,41.848591999849305,None,41.848591999849305,None,41.848591999849305,None,41.848591999849305,None,41.848591999849305,None,41.848591999849305,43.36034969985485,41.848591999849305,None,41.848591999849305,None,47.87415469996631,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,57.905799199827015,None,,,53.898986199870706,None,1,2.0248442001175135,53.898986199870706,None,53.898986199870706,None,53.898986199870706,None,53.898986199870706,None,53.898986199870706,None,53.898986199870706,55.403963999822736,53.898986199870706,None,53.898986199870706,None,59.91025949991308,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.91216909978539,None,space,7.0365708998870105,63.91216909978539,None,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,5,65,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1,+,WIN,3.25,dis,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,81.97584199998528,None,,,77.98860959988087,None,2,1.6167569998651743,77.98860959988087,None,77.98860959988087,None,77.98860959988087,None,77.98860959988087,None,77.98860959988087,None,77.98860959988087,79.49004299985245,77.98860959988087,None,77.98860959988087,None,83.98048489983194,None,,,,,,,72.97075179987587,None,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,6,65,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1,+,WIN,~4,EQUAL,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,93.98564499989152,None,,,89.99825459998101,None,1,2.421575899934396,89.99825459998101,None,89.99825459998101,None,89.99825459998101,None,89.99825459998101,None,89.99825459998101,None,89.99825459998101,91.50092349993065,89.99825459998101,None,89.99825459998101,None,95.99023989983834,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,5,50,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1,+,WIN,3,ad,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,105.97927929996513,None,,,101.99503779993393,None,2,2.3452750998549163,101.99503779993393,None,101.99503779993393,None,101.99503779993393,None,101.99503779993393,None,101.99503779993393,None,101.99503779993393,103.49491429980844,101.99503779993393,None,101.99503779993393,None,107.98315859981813,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
