sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,9.94586249999702,None,space,1.2144694000016898,9.94586249999702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.176535699982196,None,return,0.4322292000288144,11.176535699982196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15.647407800075598,None,13.62843929999508,None,17.672133599990048,None,2,2.528130999999121,17.672133599990048,None,17.672133599990048,None,17.672133599990048,None,17.672133599990048,None,17.672133599990048,None,17.672133599990048,19.18328700005077,17.672133599990048,None,17.672133599990048,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,21.686718999990262,None,,,23.706854499992914,None,1,1.325336999958381,23.706854499992914,None,23.706854499992914,None,23.706854499992914,None,23.706854499992914,None,23.706854499992914,None,23.706854499992914,25.22164150001481,23.706854499992914,None,23.706854499992914,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,27.706878500059247,None,,,29.741656700032763,None,2,0.8747368000913411,29.741656700032763,None,29.741656700032763,None,29.741656700032763,None,29.741656700032763,None,29.741656700032763,None,29.741656700032763,31.24323300004471,29.741656700032763,None,29.741656700032763,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.74835830007214,None,space,1.6678552000084892,33.74835830007214,None,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
4.25,10.75,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,3.7625,dis,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,39.467057100031525,None,,,41.4685173999751,None,2,1.8037402000045404,41.4685173999751,None,41.4685173999751,None,41.4685173999751,None,41.4685173999751,None,41.4685173999751,None,41.4685173999751,42.97003980004229,41.4685173999751,None,41.4685173999751,None,,,,,,,37.467498300014995,None,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
4.25,5.5,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-2.25,dis,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,45.45537520002108,None,,,47.47174660000019,None,2,2.1206099999835715,47.47174660000019,None,47.47174660000019,None,47.47174660000019,None,47.47174660000019,None,47.47174660000019,None,47.47174660000019,48.97458330006339,47.47174660000019,None,47.47174660000019,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
3.5,7.0,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,2.45,dis,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,51.45999930007383,None,,,53.475471800076775,None,1,2.069360600085929,53.475471800076775,None,53.475471800076775,None,53.475471800076775,None,53.475471800076775,None,53.475471800076775,None,53.475471800076775,54.97975729999598,53.475471800076775,None,53.475471800076775,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
2.25,6.75,35.0,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-2.3625,dis,,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,57.46519030001946,None,,,59.484620000002906,None,1,1.3878555999835953,59.484620000002906,None,59.484620000002906,None,59.484620000002906,None,59.484620000002906,None,59.484620000002906,None,59.484620000002906,60.98432859999593,59.484620000002906,None,59.484620000002906,None,,,,,,,,,2,001,2019_Nov_12_1134,SlotMachTest,3.2.4,59.996172284906535,
