sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,choice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,12.157056200085208,None,space,7.597761299926788,12.157056200085208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.773425899911672,None,return,0.5088917000684887,19.773425899911672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,24.327764600049704,None,22.308536800090224,None,26.360500399954617,None,None,26.360500399954617,None,26.360500399954617,None,26.360500399954617,None,26.360500399954617,None,26.360500399954617,None,26.360500399954617,27.86343830008991,26.360500399954617,None,26.360500399954617,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,30.36583929997869,None,,,32.385580899892375,None,None,32.385580899892375,None,32.385580899892375,None,32.385580899892375,None,32.385580899892375,None,32.385580899892375,None,32.385580899892375,33.88505550008267,32.385580899892375,None,32.385580899892375,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,36.38721750001423,None,,,38.41590070002712,None,None,38.41590070002712,None,38.41590070002712,None,38.41590070002712,None,38.41590070002712,None,38.41590070002712,None,38.41590070002712,39.92340960004367,38.41590070002712,None,38.41590070002712,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.42581870011054,None,space,13.18437230004929,42.42581870011054,None,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.0,4.25,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,1.4875,ad,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,59.656739299884066,None,,,61.658805700019,None,2,61.658805700019,None,61.658805700019,None,61.658805700019,None,61.658805700019,None,61.658805700019,None,61.658805700019,63.15945179993287,61.658805700019,None,61.658805700019,None,,,,,,,57.65783870010637,None,3.6311168000102043,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
1.5,3.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,WIN,1.875,ad,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,65.64497189992107,None,,,67.66098879999481,None,None,67.66098879999481,None,67.66098879999481,None,67.66098879999481,None,67.66098879999481,None,67.66098879999481,None,67.66098879999481,69.16519850003533,67.66098879999481,None,67.66098879999481,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
8.0,12.5,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,8.125,ad,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,71.64958809991367,None,,,73.66759379999712,None,None,73.66759379999712,None,73.66759379999712,None,73.66759379999712,None,73.66759379999712,None,73.66759379999712,None,73.66759379999712,75.16943609993905,73.66759379999712,None,73.66759379999712,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
4.25,7.0,50.0,000:0010,EMPHASIZE,50%  LOSE,100%  LOSE,0.0,+,LOSE,-3.5,ad,,,,,0,0,0,0,0,3,3,9,,,,,,,,,,,,,77.65494720009156,None,,,79.6712688000407,None,None,79.6712688000407,None,79.6712688000407,None,79.6712688000407,None,79.6712688000407,None,79.6712688000407,None,79.6712688000407,81.17427499988116,79.6712688000407,None,79.6712688000407,None,,,,,,,,,,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
2.25,6.75,35.0,000:0010,EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,LOSE,-2.3625,dis,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,83.64322469988838,None,,,85.66006299993023,None,1,85.66006299993023,None,85.66006299993023,None,85.66006299993023,None,85.66006299993023,None,85.66006299993023,None,85.66006299993023,87.16264329990372,85.66006299993023,None,85.66006299993023,None,,,,,,,,,2.0139248999767005,2,001,2019_Nov_12_1348,SlotMachTest,3.2.4,60.18614372137362,
