sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,64.59156129998155,None,space,2.2352053998038173,64.59156129998155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.84845639998093,None,return,2.058288700180128,66.84845639998093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
4.5,6.75,50.0,000:0010,EMPHASIZE,50%  WIN,100%  WIN,1.0,+,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,72.954740999965,None,70.93496949994005,None,74.98391509987414,None,None,74.98391509987414,None,74.98391509987414,None,74.98391509987414,None,74.98391509987414,None,74.98391509987414,None,74.98391509987414,76.48967319983058,74.98391509987414,None,74.98391509987414,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
2.0,4.25,65.0,00010:0020,DE-EMPHASIZE,65%  WIN,100%  WIN,1.0,+,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,78.99186089984141,None,,,81.0098347000312,None,None,81.0098347000312,None,81.0098347000312,None,81.0098347000312,None,81.0098347000312,None,81.0098347000312,None,81.0098347000312,82.51144209993072,81.0098347000312,None,81.0098347000312,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,85.01354279997759,None,,,87.04230979993008,None,None,87.04230979993008,None,87.04230979993008,None,87.04230979993008,None,87.04230979993008,None,87.04230979993008,None,87.04230979993008,88.54994539986365,87.04230979993008,None,87.04230979993008,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.05368559993804,None,space,9.804950699908659,91.05368559993804,None,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
1.25,4.75,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,1.663,ad,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,104.88016889989376,None,,,106.8990291999653,None,None,106.8990291999653,None,106.8990291999653,None,106.8990291999653,None,106.8990291999653,None,106.8990291999653,None,106.8990291999653,108.3997839000076,106.8990291999653,None,106.8990291999653,None,,,,,,,102.89752359990962,None,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
8.0,12.25,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,~7.96,EQUAL,,,,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,110.88513199985027,None,,,112.90084889996797,None,None,112.90084889996797,None,112.90084889996797,None,112.90084889996797,None,112.90084889996797,None,112.90084889996797,None,112.90084889996797,114.40429700003006,112.90084889996797,None,112.90084889996797,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
4.25,10.75,35.0,000:0010,EMPHASIZE,35%  WIN,100%  WIN,1.0,+,WIN,3.7625,dis,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,116.89006739994511,None,,,118.90511669986881,None,None,118.90511669986881,None,118.90511669986881,None,118.90511669986881,None,118.90511669986881,None,118.90511669986881,None,118.90511669986881,120.40972639992833,118.90511669986881,None,118.90511669986881,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
3.75,5.5,65.0,000:0010,EMPHASIZE,65%  LOSE,100%  LOSE,0.0,+,LOSE,-3.575,ad,,,,,0,0,0,0,0,3,3,8,,,,,,,,,,,,,122.89484889991581,None,,,124.89499469986185,None,None,124.89499469986185,None,124.89499469986185,None,124.89499469986185,None,124.89499469986185,None,124.89499469986185,None,124.89499469986185,126.3979652998969,124.89499469986185,None,124.89499469986185,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
3.75,5.25,65.0,000:0010,EMPHASIZE,65%  WIN,100%  WIN,1.0,+,WIN,3.143,dis,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,128.88278599991463,None,,,130.8980880000163,None,None,130.8980880000163,None,130.8980880000163,None,130.8980880000163,None,130.8980880000163,None,130.8980880000163,None,130.8980880000163,132.40312949987128,130.8980880000163,None,130.8980880000163,None,,,,,,,,,2,001,2019_Nov_13_1328,SlotMachTest,3.2.4,59.93076797990416,
