sure,gamble,gambleProb,WinLoss,gambleWinLoss,sureWinLoss,WinLossCode,Evgamble,riskyAdDis,
$2.50 ,$6.75 ,50,WIN,50%  WIN,100%  WIN,1,3.375,ad,
$4.25 ,$10.75 ,35,WIN,35%  WIN,100%  WIN,1,3.7625,dis,
$8.00 ,$12.50 ,65,WIN,65%  WIN,100%  WIN,1,8.125,ad,
$1.00 ,$4.25 ,35,WIN,35%  WIN,100%  WIN,1,1.4875,ad,
$3.50 ,$7.00 ,35,WIN,35%  WIN,100%  WIN,1,2.45,dis,
$4.25 ,$5.50 ,50,LOSE,50%  LOSE,100%  LOSE,0,-2.25,dis,
$1.50 ,$3.75 ,50,WIN,50%  WIN,100%  WIN,0,1.875,ad,
$2.25 ,$6.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-2.3625,dis,
$3.75 ,$5.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.575,ad,
$4.25 ,$7.00 ,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,
$2.50 ,$6.75 ,35,WIN,35%  WIN,100%  WIN,1,2.3625,dis,
$3.75 ,$5.50 ,65,WIN,65%  WIN,100%  WIN,1,3.575,dis,
$3.25 ,$7.00 ,50,WIN,50%  WIN,100%  WIN,1,3.5,ad,
$3.00 ,$4.75 ,35,WIN,35%  WIN,100%  WIN,1,1.663,dis,
$3.25 ,$7.00 ,50,WIN,50%  WIN,100%  WIN,1,3.5,ad,
$1.50 ,$3.85 ,50,LOSE,50%  LOSE,100%  LOSE,0,-1.925,dis,
$2.95 ,$6.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-2.3625,ad,
$3.75 ,$5.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.575,ad,
$4.25 ,$7.00 ,50,LOSE,50%  LOSE,100%  LOSE,0,-3.5,ad,
$2.95 ,$6.75 ,35,WIN,35%  WIN,100%  WIN,1,2.3625,dis,
$5.50 ,$8.75 ,65,WIN,65%  WIN,100%  WIN,1,5.6875,ad,
$2.75 ,$5.00 ,35,WIN,35%  WIN,100%  WIN,1,1.75,dis,
$3.15 ,$6.75 ,50,WIN,35%  WIN,100%  WIN,1,3.375,ad,
$2.25 ,$6.50 ,35,WIN,35%  WIN,100%  WIN,1,2.275,ad,
$1.25 ,$4.50 ,35,LOSE,35%  LOSE,100%  LOSE,0,-1.575,dis,
$2.75 ,$5.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.25,dis,
$4.75 ,$7.50 ,65,LOSE,65%  LOSE,100%  LOSE,0,-4.875,dis,
$1.75 ,$4.00 ,50,LOSE,35%  LOSE,100%  LOSE,0,-2,dis,
$6.00 ,$9.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-3.413,ad,
$1.50 ,$3.85 ,50,WIN,50%  WIN,100%  WIN,1,1.925,ad,
$2.50 ,$7.25 ,35,WIN,35%  WIN,100%  WIN,1,2.275,ad,
$3.75 ,$5.25 ,65,WIN,65%  WIN,100%  WIN,1,3.143,dis,
$4.25 ,$7.00 ,50,WIN,50%  WIN,100%  WIN,1,3.5,dis,
$1.25 ,$4.75 ,35,WIN,35%  WIN,100%  WIN,1,1.663,ad,
$3.75 ,$6.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,dis,
$6.15 ,$9.75 ,35,LOSE,35%  LOSE,100%  LOSE,0,-3.413,ad,
$1.50 ,$3.85 ,50,WIN,50%  WIN,100%  WIN,1,1.925,ad,
$2.95 ,$6.75 ,35,WIN,35%  WIN,100%  WIN,1,2.363,dis,
$3.75 ,$5.25 ,65,WIN,65%  WIN,100%  WIN,1,3.143,dis,
$4.25 ,$9.00 ,50,WIN,50%  WIN,100%  WIN,1,3.5,ad,
$3.15 ,$4.75 ,35,WIN,35%  WIN,100%  WIN,1,1.663,dis,
$3.95 ,$6.00 ,65,LOSE,65%  LOSE,100%  LOSE,0,-3.9,ad,
